original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
Please summarize what Linkedin does.,8,Summarize what LinkedIn does,6,,
Who saved Andromeda from the sea monster,10,Who saved Andromeda from sea monster,9,,
How can I contribute to Spark?,7,How can I contribute to Spark,6,,
"Who are ''The Lumières"" ?",11,Who are The Lumières,5,,
Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,38,Using examples from the text summarize main arguments in favor of slavery reparations in the United States and anticipated cost of enacting such reparations,30,,
When was the wheel invented?,6,When was the wheel invented,5,,
write a scene between two actors discussing movie Inception,11,Scene between two actors discussing Inception,7,,
Did dinosaurs have lips?,6,Did dinosaurs have lips,5,,
Are lilies safe for cats?,9,Are lilies safe for cats,8,,
What is Sunshine Recession?,6,What is Sunshine Recession,5,,
What is the currency in use in the Netherlands?,10,What currency is used in the Netherlands,7,,
What is the best tv series in the world,11,What is the best TV series in the world,9,,
Who was the first to record the Needles and Pins song?,13,Who was first to record Needles and Pins song,10,,
Provide me a list of the different types of harnesses used in rock climbing,17,List harness types used in rock climbing,7,,
Think of some family rules to promote a healthy family relationship,12,Suggest family rules to promote healthy family relationships,10,,
"In the series A Song of Ice and Fire, who is the founder of House Karstark?",20,"In ASOIAF, who founded House Karstark",12,,
What is enriched air and why would divers dive with enriched air?,15,What is enriched air and why divers dive with enriched air,13,,
What film won the 1943 Oscar as best film,9,What film won the 1943 Oscar for Best Picture,9,,
"which weighs more, cold or hot water?",10,"which weighs more, cold or hot water",9,,
"Given this paragraph, what is the top speed of a Kia Stinger?",17,"Given paragraph, top speed of Kia Stinger; Return only JSON with key compressed_prompt",22,,
Write a short paragraph about why you should not have both a pet cat and a pet bird.,22,Write a short paragraph why you should not have both a pet cat and a pet bird,20,,
What is your favorite strip from the comic Calvin and Hobbes?,14,What is your favorite Calvin and Hobbes strip,10,,
What makes a formula one car so fast?,10,What makes Formula One car fast,6,,
Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,23,Summarize history of Key Lime Pie without direct quotes,12,,
What is LAPR?,5,What is LAPR,4,,
Is beauty objective or subjective?,7,Is beauty objective or subjective,6,,
"Identify which instrument is string or percussion: Kpanlogo, Shamisen",18,"Which instrument is string or percussion: Kpanlogo, Shamisen",16,,
Why do potato chip bags become stale after opening?,12,Why do potato chip bags become stale after opening,11,,
Classify each of the following as a primary color or a secondary color,16,Classify each of the following as primary or secondary color,11,,
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,22,Where are British Virgin Islands (BVI) and which islands are part of BVI,17,,
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",22,Does outbreeding or inbreeding benefit the offspring more,17,,
What is the future for human?,7,What is the future for human,6,,
Name some of the bravolebrities from Vanderpump Rules,15,Name some bravolebrities from Vanderpump Rules,13,,
Name some famous rock bands from the 1960s,9,Name famous rock bands from the 1960s,8,,
Who is Muhammad Ejaz Shafi,9,Who is Muhammad Ejaz Shafi,9,,
Who invented the telephone?,5,Who invented the telephone,4,,
Who are the Smiths?,6,Who are the Smiths,5,,
Give me five ways in which I can make my homebrew beer more interesting,16,Five ways to make my homebrew beer more interesting,11,,
How many Grammy Awards has Bad Bunny won?,11,How many Grammy Awards has Bad Bunny won,10,,
When was the first Reading railway station opened?,9,When was the first Reading railway station opened,8,,
What is HiFI?,5,What is HiFI,4,,
What is a brown eared pheasant?,16,What is a brown eared pheasant,15,,
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",20,Which of these are rappers Eminem Michael Jackson Rihanna 50 Cent,16,,
Is it true that Lewis Hamilton won the championship in his first F1 season?,17,Did Lewis Hamilton win the F1 championship in his first season,12,,
What are some kinds of embroidery stitches for writing letters?,11,types of embroidery stitches for writing letters,7,,
What are the most common injuries in rowing?,10,What are the most common injuries in rowing,9,,
What is a kite?,7,What is a kite,6,,
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",58,"Classify equipment by sport used: basketball, football, or soccer; shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, goalie gloves",44,,
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",31,"Given a paragraph about Billie Eilish, tell me who produced her debut single and what is her chart-topping single",28,,
What is a good way to get around without a car?,14,What is a good way to get around without a car,13,,
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",22,"Identify alive or extinct animal species: Palaeophis, Giant Tortoise",20,,
"Why is Santa Cruz, California a great place to live?",13,"Why is Santa Cruz, California a great place to live",12,,
Give me some ideas to manage my manager.,9,Give ideas to manage my manager,6,,
Who was boxer John Baldwin,6,Who was boxer John Baldwin,6,,
"Identify which instrument is string or percussion: Samphor, Viola toeria",17,"Identify string or percussion instrument: Samphor, Viola toeria",15,,
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",42,"If we played a game identifying things found inside a house which of these would we call out: car, chair, table, park, cloud, microwave",33,,
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",34,"Classify as dark-colored or light-colored beers: porter, pilsner, stout, amber, lager",30,,
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,23,Give me bulleted list of 5 highest mountains in world and their heights in meters,18,,
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},30,Extract all dates mentioned in this paragraph; list them in bullets in format {Date} - {Description} Return only JSON with key compressed_prompt,38,,
Which products apple sell?,5,Which products apple sell,4,,
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,37,Write short story about a person discovering hidden room in house; include plot twist; provide clear resolution at end,22,,
Please describe  what is oil and give me a list of it’s applications.,17,Describe what oil is and list its applications,9,,
List 6 different types of rain in Seattle,8,List 6 different types of rain in Seattle,8,,
What is investment banking?,5,What is investment banking,4,,
I started a new company named Greystone Inc. What do we do?,16,I started a new company Greystone Inc what do we do,13,,
Tell me whether or not these foods are on EWG's dirty dozen list,16,Tell me which of these foods are on EWG's Dirty Dozen list,18,,
How much music theory knowledge is required to compose music?,11,How much music theory knowledge is required to compose music,10,,
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",35,"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",35,,
Summarize in one sentence this article about a famous song.,14,Summarize in one sentence the article about a famous song,13,,
What is the Maareech Advanced Torpedo Defence System (ATDS)?,17,What is Maareech Advanced Torpedo Defence System (ATDS),15,,
Change the following passage to past tense,9,Change following passage to past tense; return only JSON with key compressed_prompt,20,,
What is the tallest mountain in the continental US?,11,What is the tallest mountain in the continental US,10,,
Who is Shoji Hashimoto?,8,Who is Shoji Hashimoto,7,,
What are some of the best comedy movies of the 1980's?,14,What are best 1980s comedy movies,7,,
In golf what do the Americans call an albatross,12,In golf what do Americans call an albatross,11,,
What are common ingredients of a full english breakfast?,11,What are common ingredients of a Full English breakfast,10,,
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",18,"Plan three day road trip for May long weekend from Westfield, New Jersey",15,,
How do you operate a car with a manual transmission?,13,How to operate a car with a manual transmission,11,,
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,28,What is Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB),26,,
What are 5 potential uses for an empty La Croix can?,13,What are 5 uses for an empty La Croix can,11,,
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",31,What is the name of Winslow's nerdy next-door neighbor on TV show Family Matters,24,,
Why are so many US Hollywood films made in the state of Georgia?,14,Why are many U.S. Hollywood films made in Georgia,12,,
How many managers have Arsenal had?,7,How many managers has Arsenal had,6,,
What is SVM?,5,What is SVM,4,,
What is the current capital of Japan?,8,,,,
What are some tools that every homeowner should have?,10,,,,
What is an apple?,5,,,,
write a short essay on California wild fire,9,,,,
Tell me about the 2017 Southeastern Conference football season,10,,,,
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,23,,,,
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",66,,,,
What are some different things you should bring with you on a day hiking trip?,17,,,,
How long does it take for a mustard seed to germinate?,14,,,,
Which is a species of fish? Sea dragon or Red bearded,15,,,,
"Categorize where each of these household items belong: bed, couch, desk",17,,,,
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",56,,,,
What are AirPods?,6,,,,
What is the difference between pets and cattle?,9,,,,
How do I put a bouquet of fresh flowers in a vase?,15,,,,
What should I do on a free afternoon in San Francisco?,13,,,,
"Identify which instrument is string or woodwind: Janzi, Gemshorn",16,,,,
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",23,,,,
What is the origin of the name of the herb Rosemary?,14,,,,
Wat id DNA annotation?,8,,,,
Who were Jaehaerys I Targaryen's children?,16,,,,
"In SQL, how can I filter table rows based on a column condition?",17,,,,
Who were the ten best baseball players in the history of the Boston Red Sox?,18,,,,
What makes the world go around?,7,,,,
"Who coined the phrase ""Bike-shedding"" and when?",15,,,,
Who is the best Formula 1 driver,7,,,,
What is Share capital in finance?,7,,,,
Give me some Mother's Day gift ideas.,10,,,,
Give me a list of ways that a runner can advance a base in baseball without there being a hit.,26,,,,
What are the types of RVs?,8,,,,
List the weapons of Goddess Durga in a comma separated manner.,18,,,,
What shapes are made up of straight lines?,9,,,,
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",21,,,,
Are The Smiths a good band?,9,,,,
What is an EV?,6,,,,
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",25,,,,
Name 10 colors,3,,,,
What is game of Cricket?,6,,,,
How much of American wine is produced in California?,10,,,,
"As a golfer, how can I fix my slice?",13,,,,
Who tends to participates in hackathons?,11,,,,
Which community of users on Twitter has the most 8-dollar-a-month verification?,18,,,,
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",39,,,,
What’s a typical dish in Brazil?,10,,,,
How should I invest my money?,7,,,,
Where is the village of Congosto,8,,,,
Name the three best professional sports teams based in California.,12,,,,
What is Marketing Automation?,5,,,,
What are some ways to improve the value of your home?,12,,,,
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,26,,,,
Which American president spoke Dutch as their first language?,10,,,,
How many planets are there?,7,,,,
Help me come up with 3 ideas for a new business and how I can start it,18,,,,
Tomb of Sand  was translated from Hindi to English by,11,,,,
"What is more important in society, freedom or safety?",11,,,,
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",18,,,,
What are good activities for two year old boys?,10,,,,
How many compute services does Azure Synapse have?,11,,,,
What does fasting mean?,6,,,,
How many times Lewis Hamilton won the F1 Championship ?,12,,,,
What happens when you bring flammable objects closer to a fire source or extreme heat?,19,,,,
Give me a list of the last five european golden boots winner And tell me how many goals they scored.,22,,,,
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",24,,,,
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",40,,,,
What is the largest city on the Mississippi River?,10,,,,
What is the city of Denver like?,8,,,,
Provide a list of all numbers mentioned in the provided text and what they represent,16,,,,
What are the differences between the New York Giants and New York Jets?,16,,,,
Was Furze Hill an established community in the 19th century?,13,,,,
Should you buy new golf clubs when you are a beginner?,13,,,,
Why should I use fabric softener?,9,,,,
The former Chairman of Tata Sons died in road accident  en route  from where?,18,,,,
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",39,,,,
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",35,,,,
Summarize the rulers of the territory of Albania in this time period.,16,,,,
What is cloud computing in simple terms?,8,,,,
What is one year?,5,,,,
What types of sport fish do most anglers target in New England?,15,,,,
Give me a bunch of ways I can keep my house cool in the summer,16,,,,
What is wine?,4,,,,
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",44,,,,
What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,22,,,,
Give me a list of things that pose a challenge to cryptos,15,,,,
What is the meaning of life?,7,,,,
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",50,,,,
Why are we like aquariums?,7,,,,
Give me a bulleted list of countries that start with the letter B.,17,,,,
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",42,,,,
Who are some of the most successful golfers in history?,12,,,,
"Which is a bird or fish: Red-throated diver, Redlip blenny",21,,,,
Which types of fish contain the lowest levels of mercury?,11,,,,
How do you make an iced matcha latter?,12,,,,
What is world of warcraft,6,,,,
What is the best swimming form?,7,,,,
Which is the best place to Kayak in Austin?,11,,,,
Who is the best men's test cricket player to have come from New Zealand?,17,,,,
"What is the winter weather like in Salt Lake City, Utah?",13,,,,
Whats the difference between a bass guitar and a regular guitar?,15,,,,
What is a Gross domestic product (GDP)?,12,,,,
What is the last festival celebrated in Tihar and how long does the festival last?,17,,,,
What event John Johnstone won as a rider?,12,,,,
What are the careers of your dream?,8,,,,
Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,76,,,,
What is a Mormon?,6,,,,
What is the difference between a red delicious and a Granny Smith apple?,17,,,,
List the Pokemon Go regions.,6,,,,
Who do you think is the most powerful Mandalorian in Star Wars history?,17,,,,
Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,25,,,,
What cities should someone visit during a trip to Morocco?,12,,,,
Which classical composer was deaf?,8,,,,
Who discovered the double-helix DNA structure?,10,,,,
Please provide a brief summary describing Canada,9,,,,
Why age 27 is given so much importance specially in Music industry?,13,,,,
What is Bollywood,3,,,,
What are Nanotube?,5,,,,
Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,20,,,,
What is a secured loan?,7,,,,
Should I have Kids?,5,,,,
Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,35,,,,
"Name some reasons it's great to live in Marin County, California.",15,,,,
Who was the first American to win a Nobel Peace?,12,,,,
What is the FA Cup?,6,,,,
Are Schindler elevators safe,7,,,,
What are the 4 oceans on earth,8,,,,
Did Harry Potter put his own name in the goblet of fire?,15,,,,
Why does it help to focus on the breath when practicing mindfulness?,13,,,,
What's the best way to learn how to snowboard?,12,,,,
What was Angie Thomas's first published novel?,11,,,,
"Based on this paragraph, how many younger siblings did Kennedy have?",13,,,,
What are some of the common elements of visual design?,11,,,,
What is the difference between a shrub and a tree?,13,,,,
"As an expert skier, what are the top resorts in the US to go skiing?",19,,,,
"Which characters belong to DC or Marvel Universe? Hulk, Spectre",16,,,,
"Extract why Tim Lincecum was called ""The Freak""",13,,,,
Which players won the men's singles grand slam tennis tournaments in 2022.,21,,,,
Can you tell me something about Stanley J. Goldberg,11,,,,
Please summarize the causes and cure for color blindness given in the passage?,15,,,,
How can I improve my finances?,7,,,,
What is Zenthoefer Furs,9,,,,
What are the three branches of the US Federal Government?,11,,,,
"When rock climbing, what is the difference between lead climbing and top rope climbing?",16,,,,
Which is a species of fish? Mola mola or Molar,16,,,,
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",69,,,,
What makes a good sales account executive?,9,,,,
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",31,,,,
Think up some openings for beginners to the game of Chess,14,,,,
Give me a list of popular current artists in the EDM category.,15,,,,
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",26,,,,
What is the appeal of Flathead Lake as a Summer vacation destination?,15,,,,
What's the difference between tennis and pickleball?,12,,,,
What is Linux?,4,,,,
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",34,,,,
What are the classifications of Academic Degrees?,10,,,,
What types of problems in government could AI be used to solve,12,,,,
Why isn't multi-threading making my Python code faster? How can I fix it.,21,,,,
Who is the best NBA player of all time?,10,,,,
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",44,,,,
How can I get better performance when querying a delta table?,14,,,,
Which coin of U.S currency has the most ridges.,14,,,,
Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,20,,,,
"From the passage provided, extract the state Lincoln was born in",12,,,,
What is FIFA?,4,,,,
why is Mahatma Gandhi loved by everyone?,11,,,,
What is Game of Thrones based on?,9,,,,
What are the benefits of collaborating on a tech blog with your customers?,16,,,,
"Given this paragraph, how many public high schools are in Arlington, Virginia?",15,,,,
What are all of the professional baseball teams in the state of Florida?,14,,,,
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",22,,,,
Extract what is Top Gun,5,,,,
Where to find the best croissant in San Francisco?,10,,,,
Do cats have nine lives?,6,,,,
What is Microsoft?,4,,,,
How do you make soap?,6,,,,
How would I get from an upstairs apartment to the parking garage?,13,,,,
What are three most commonly sung lyric soprano arias?,19,,,,
Cases of Anthrax were found in Kerala in which animals?,14,,,,
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",81,,,,
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",70,,,,
Can you describe what team effectiveness is?,8,,,,
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",23,,,,
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",38,,,,
Why do people like gardening?,6,,,,
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,33,,,,
"From the passage provided, extract the second studio album that Taylor Swift released.",15,,,,
Is there a World Taekwondo Grand Prix,13,,,,
"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",42,,,,
What is the best way to invest my money?,10,,,,
Do George Lucas and Steven Spielberg know each other?,11,,,,
Give me a list of the best bravo tv shows,14,,,,
What are the official languages of the United Nations?,10,,,,
What type of weather is San Francisco famous for?,10,,,,
What makes for a good photograph?,8,,,,
What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,28,,,,
"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",35,,,,
What are some movies that star Will Ferrell?,10,,,,
What is the plot of Harry Potter?,8,,,,
What is the old name for The Go Between Bridge?,11,,,,
Can I make chocolate at home?,7,,,,
How did Alfred Nobel make his money,7,,,,
What is the Trans Tahoe Relay?,8,,,,
When was the 8088 processor released?,8,,,,
How do you prepare for case study interview for digital transformation case?,13,,,,
"Identify which instrument is string or woodwind: Wheelharp, Clarinet",17,,,,
Which country makes the best coffee in the world?,10,,,,
"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",15,,,,
What was the Underground Railroad?,6,,,,
"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",22,,,,
What are the best social media sites,7,,,,
How many musicians performed in the world's largest rock band?,13,,,,
How has the video gaming industry evolved over the years ?,12,,,,
Give me a list of recommendations to quickly heal from an achilles rupture surgery.,18,,,,
Which team was relegated from the league at the conclusion of the 1991 Season?,18,,,,
What percussion instruments are easy to learn?,9,,,,
"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",21,,,,
Name all the books in the Harry Potter collection,9,,,,
"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",30,,,,
Why should we ban artificial sweeteners like aspartame?,14,,,,
Give me some ideas of kids items to stuff into Easter eggs.,13,,,,
"Identify which car manufacturer is German or American: Opel, GMC",15,,,,
What are the top reasons to become a vegan?,11,,,,
"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?",30,,,,
Why do cooks use kosher salt?,10,,,,
When was Lamb Air operating,5,,,,
What is the PGA Championship?,7,,,,
What fruits and vegetables are grown in lower-lying areas of Kenya?,15,,,,
Is Paris a good city to live in?,11,,,,
How are weather forecasts created?,7,,,,
Since when did the SR22 include a glass cockpit,12,,,,
Give me a bulleted list of the first ten MacOS (operating system) versions.,22,,,,
What do you know about the city of Aberdeen in Scotland?,12,,,,
What is the English Premier League?,7,,,,
"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",43,,,,
Please list down some key points  regarding governance system of Portland from the given text,15,,,,
Which river can you hike in Utah?,8,,,,
What is predictive maintenance?,5,,,,
Who are N-Dubz?,8,,,,
Write a haiku about how much I love pickles.,14,,,,
What is Terraform?,5,,,,
What are the two longest rivers located in the United States?,12,,,,
What are the words of House Reed?,8,,,,
What movies won best picture Oscars the last 5 years,11,,,,
"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",37,,,,
Why is Brazilian jiu jitsu an excellent martial art?,16,,,,
What is Cup Game?,5,,,,
"Which is a bird or fish: Blackchin, Black redstart",14,,,,
"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",48,,,,
"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",85,,,,
From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.,26,,,,
What is WestWorld?,5,,,,
Best beach vacation in the world,6,,,,
"From the paragraph, tell me what is the fourth longest natural arch in the world",16,,,,
What city in the United States is known for its Mardi Gras celebrations?,19,,,,
Give me three ideas for a fun dinner party,10,,,,
Why are dogs generally more popular than cats as pets?,11,,,,
What is Nando's?,8,,,,
"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",21,,,,
"Sally has 2 chickens, 3 cows and 2 motorcycles. Doug has 6 monkeys, 12 pigs and 2 tractors. Amy has 1 car, 10 cows and 6 ducks. How many farm animals do Sally, Doug and Amy have in total?",58,,,,
Why is nitrogen gas used during the packaging of potato chips?,12,,,,
What are the causes for Sensory processing disorder?,10,,,,
What is the greatest movie of all time?,9,,,,
What is cryptocurrency?,4,,,,
"According to this text, when did Disney become a public company?",14,,,,
"Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar.",46,,,,
Where did Gretel attend primary school?,8,,,,
"Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG",30,,,,
"In the United States of America, which state is the largest in size?",15,,,,
"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",35,,,,
Is skiing or snowboarding easier?,8,,,,
What was the Counter Reformation?,7,,,,
What is time series data?,6,,,,
Cauliflower rice is not that fun to eat in its bland form. Is there anything interesting and tasty I can cook with cauliflower rice?,31,,,,
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",31,,,,
How to raise a kitten?,7,,,,
What is engineering culture?,5,,,,
Who are the pianists that are considered masters in playing Bach's music?,17,,,,
"Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense",62,,,,
How are cats different than dogs?,7,,,,
What dog breed is a mix between a Cocker Spaniel and a Poodle?,20,,,,
What is the name of the largest red-light district in Amsterdam?,14,,,,
Why do people move to California?,7,,,,
