"original","summarization","original_token_count","compression_token_count","compression_ratio"
"What is the currency in use in the Netherlands?","Currency used in the Netherlands?","10","6","0.6"
"What is the best tv series in the world","Best TV series worldwide?","9","5","0.56"
"Who was the first to record the Needles and Pins song?","Who first recorded Needles and Pins?","13","8","0.62"
"Provide me a list of the different types of harnesses used in rock climbing","List rock climbing harness types.","15","6","0.4"
"Think of some family rules to promote a healthy family relationship","List family rules for a healthy family relationship.","11","9","0.82"
"In the series A Song of Ice and Fire, who is the founder of House Karstark?","ASOIAF: who founded House Karstark?","20","12","0.6"
"What is enriched air and why would divers dive with enriched air?","What is enriched air and why do divers use it?","13","11","0.85"
"What film won the 1943 Oscar as best film","1943 Best Picture winner?","11","6","0.55"
"which weighs more, cold or hot water?","which weighs more, cold or hot water?","9","9","1.0"
"Given this paragraph, what is the top speed of a Kia Stinger?","Kia Stinger top speed from this paragraph?","15","10","0.67"
"Write a short paragraph about why you should not have both a pet cat and a pet bird.","Write a short paragraph on why you shouldn't keep both a cat and a bird.","19","16","0.84"
"What is your favorite strip from the comic Calvin and Hobbes?","Your favorite Calvin and Hobbes strip?","13","8","0.62"
"What makes a formula one car so fast?","What makes F1 cars so fast?","9","8","0.89"
"Without quoting directly from the text give me a summary of the history of the Key Lime Pie.","Summarize the history of Key Lime Pie without direct quotes.","19","13","0.68"
"What is LAPR?","What is LAPR?","5","5","1.0"
"Is beauty objective or subjective?","Is beauty objective or subjective?","6","6","1.0"
"Identify which instrument is string or percussion: Kpanlogo, Shamisen","String or percussion: Kpanlogo, Shamisen","14","10","0.71"
"Why do potato chip bags become stale after opening?","Why do opened potato chip bags go stale?","10","9","0.9"
"Classify each of the following as a primary color or a secondary color","Classify each color as primary or secondary.","14","9","0.64"
"Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?","Where are the British Virgin Islands (BVI) located and which islands comprise the BVI?","21","19","0.9"
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?","Which benefits offspring more: outbreeding or inbreeding?","17","13","0.76"
"What is the future for human?","Future of humanity?","7","4","0.57"
"Name some of the bravolebrities from Vanderpump Rules","Name Bravolebrities from Vanderpump Rules.","11","10","0.91"
"Name some famous rock bands from the 1960s","Name famous 1960s rock bands.","11","9","0.82"
"Who is Muhammad Ejaz Shafi","Who is Muhammad Ejaz Shafi","7","7","1.0"
"Who invented the telephone?","Who invented the telephone?","5","5","1.0"
"Who are the Smiths?","Who are the Smiths?","6","6","1.0"
"Give me five ways in which I can make my homebrew beer more interesting","Five ways to make my homebrew beer more interesting.","15","11","0.73"
"How many Grammy Awards has Bad Bunny won?","How many Grammy Awards has Bad Bunny won?","9","9","1.0"
"When was the first Reading railway station opened?","When was the first Reading railway station opened?","9","9","1.0"
"What is HiFI?","What is HiFI?","5","5","1.0"
"What is a brown eared pheasant?","Describe brown-eared pheasant?","9","7","0.78"
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent","Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent","18","18","1.0"
"Is it true that Lewis Hamilton won the championship in his first F1 season?","Did Lewis Hamilton win the F1 title in his first season?","16","13","0.81"
"What are some kinds of embroidery stitches for writing letters?","Lettering embroidery stitches: kinds?","11","7","0.64"
"What are the most common injuries in rowing?","Most common rowing injuries?","9","5","0.56"
"What is a kite?","Define kite","5","2","0.4"
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.","Identify sport (basketball, football, soccer) for each item: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, goalie gloves.","45","32","0.71"
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?","From this Billie Eilish paragraph, who produced her debut single and what is her chart-topping single?","27","21","0.78"
"What is a good way to get around without a car?","Best ways to get around without a car?","12","9","0.75"
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise","Alive or extinct: Palaeophis, Giant Tortoise","19","14","0.74"
"Why is Santa Cruz, California a great place to live?","Why is Santa Cruz, California a great place to live?","12","12","1.0"
"Give me some ideas to manage my manager.","Ideas to manage my manager.","9","6","0.67"
"Who was boxer John Baldwin","Who was boxer John Baldwin","5","5","1.0"
"Identify which instrument is string or percussion: Samphor, Viola toeria","String or percussion: Samphor, Viola toeria","15","11","0.73"
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.","House-find game: which of these are inside a house? car, chair, table, park, cloud, microwave.","40","24","0.6"
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager","Classify as dark or light beers: porter, pilsner, stout, amber, lager","24","18","0.75"
"Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters","Bulleted list: 5 highest mountains and their heights (m).","21","14","0.67"
"Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description}","Extract all dates in this paragraph and list as bullets: {Date} - {Description}.","24","18","0.75"
"Which products apple sell?","Apple products?","5","3","0.6"
"Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.","Write a short story: a person discovers a hidden room in their house; include a plot twist and a clear resolution at the end.","31","27","0.87"
"Please describe  what is oil and give me a list of it’s applications.","Describe oil and list its applications.","16","7","0.44"
"List 6 different types of rain in Seattle","List 6 different Seattle rain types","9","7","0.78"
"What is investment banking?","What is investment banking?","5","5","1.0"
"I started a new company named Greystone Inc. What do we do?","New company Greystone Inc. What do we do?","15","11","0.73"
"Tell me whether or not these foods are on EWG's dirty dozen list","Are these foods on the EWG Dirty Dozen list?","15","12","0.8"
"How much music theory knowledge is required to compose music?","How much music theory knowledge is required to compose music?","11","11","1.0"
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo","Categorize as string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo","29","23","0.79"
"Summarize in one sentence this article about a famous song.","One-sentence summary of this article about a famous song.","13","12","0.92"
"What is the Maareech Advanced Torpedo Defence System (ATDS)?","Maareech Advanced Torpedo Defence System (ATDS): describe.","15","14","0.93"
"Change the following passage to past tense","Change passage to past tense.","7","6","0.86"
"What is the tallest mountain in the continental US?","Tallest mountain in continental US?","10","7","0.7"
"Who is Shoji Hashimoto?","Shoji Hashimoto?","7","5","0.71"
"What are some of the best comedy movies of the 1980's?","Best 1980s comedy movies?","15","8","0.53"
"In golf what do the Americans call an albatross","In golf what do the Americans call an albatross","11","11","1.0"
"What are common ingredients of a full english breakfast?","Common ingredients of a Full English breakfast?","10","8","0.8"
"Plan for a three day road trip for May long weekend from Westfield, New Jersey","Plan for a three day road trip for May long weekend from Westfield, New Jersey","17","17","1.0"
"How do you operate a car with a manual transmission?","How to drive a manual transmission car?","11","8","0.73"
"What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?","What is RCSB PDB (Research Collaboratory for Structural Bioinformatics Protein Data Bank)?","20","19","0.95"
"What are 5 potential uses for an empty La Croix can?","List 5 uses for an empty La Croix can.","13","11","0.85"
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?","Name the Winslow family's nerdy next-door neighbor in Family Matters.","22","14","0.64"
"Why are so many US Hollywood films made in the state of Georgia?","Why are so many US Hollywood films made in Georgia?","14","11","0.79"
"How many managers have Arsenal had?","How many Arsenal managers?","7","5","0.71"
"What is SVM?","Explain SVM.","5","4","0.8"
"What is the current capital of Japan?","Current capital of Japan?","8","5","0.62"
"What are some tools that every homeowner should have?","What essential tools should homeowners have?","10","7","0.7"
"What is an apple?","Define apple.","5","3","0.6"
"write a short essay on California wild fire","write a short essay on California wild fire","8","8","1.0"
"Tell me about the 2017 Southeastern Conference football season","2017 SEC football season overview","11","6","0.55"
"Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?","Who scored first in Austin FC's first home win of the 2021 MLS season?","21","18","0.86"
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly","Classify as bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly","53","47","0.89"
"What are some different things you should bring with you on a day hiking trip?","What should you bring on a day hike?","16","9","0.56"
"How long does it take for a mustard seed to germinate?","Mustard seed germination time?","13","7","0.54"
"Which is a species of fish? Sea dragon or Red bearded","Which is a species of fish? Sea dragon or Red bearded","13","13","1.0"
"Categorize where each of these household items belong: bed, couch, desk","Categorize locations: bed, couch, desk","15","9","0.6"
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.","Classify Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills, Woolloongabba by whether they border the Brisbane River.","50","40","0.8"
"What are AirPods?","Explain AirPods.","5","4","0.8"
"What is the difference between pets and cattle?","Difference between pets and cattle?","9","6","0.67"
"How do I put a bouquet of fresh flowers in a vase?","How to arrange a bouquet of fresh flowers in a vase?","13","12","0.92"
"What should I do on a free afternoon in San Francisco?","What to do on a free afternoon in SF?","12","10","0.83"
"Identify which instrument is string or woodwind: Janzi, Gemshorn","Identify which instrument is string or woodwind: Janzi, Gemshorn","15","15","1.0"
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana","Alive or extinct: Pliosaur, Marine Iguana","16","11","0.69"
"What is the origin of the name of the herb Rosemary?","Origin of rosemary's name?","12","6","0.5"
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air","Classify each title as Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air","74","68","0.92"
"Wat id DNA annotation?","DNA annotation definition?","5","4","0.8"
"Who were Jaehaerys I Targaryen's children?","Jaehaerys I Targaryen's children?","15","13","0.87"
"In SQL, how can I filter table rows based on a column condition?","SQL: filter rows by column condition?","15","8","0.53"
"Who were the ten best baseball players in the history of the Boston Red Sox?","Top 10 all-time Boston Red Sox players.","16","10","0.62"
"What makes the world go around?","What makes the world go around?","7","7","1.0"
"Who coined the phrase ""Bike-shedding"" and when?","Who coined the phrase ""Bike-shedding"" and when?","13","13","1.0"
"Who is the best Formula 1 driver","Best F1 driver?","8","5","0.62"
"What is Share capital in finance?","What is share capital?","7","5","0.71"
"Give me some Mother's Day gift ideas.","Mother's Day gift ideas.","8","6","0.75"
"Give me a list of ways that a runner can advance a base in baseball without there being a hit.","List ways a baserunner can advance bases without a hit.","21","13","0.62"
"What are the types of RVs?","Types of RVs?","8","5","0.62"
"List the weapons of Goddess Durga in a comma separated manner.","List Durga's weapons, comma-separated.","13","9","0.69"
"What shapes are made up of straight lines?","Shapes formed by straight lines?","9","6","0.67"
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand","Odd one out: hangar, platform, dock, park, bus stand","21","15","0.71"
"Are The Smiths a good band?","Are The Smiths good?","8","6","0.75"
"What is an EV?","What is EV?","5","4","0.8"
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.","From a reference text on Run Towards the Danger, how many essays are in the collection?","21","18","0.86"
"Name 10 colors","Name 10 colors","4","4","1.0"
"What is game of Cricket?","What is cricket?","6","4","0.67"
"How much of American wine is produced in California?","How much of American wine is produced in California?","10","10","1.0"
"As a golfer, how can I fix my slice?","Golfer: how to fix my slice?","11","9","0.82"
"Who tends to participates in hackathons?","Who tends to participates in hackathons?","8","8","1.0"
"Which community of users on Twitter has the most 8-dollar-a-month verification?","Which Twitter user community has the most $8/mo verifications?","16","13","0.81"
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift","Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift","30","30","1.0"
"What’s a typical dish in Brazil?","Typical Brazilian dish?","8","4","0.5"
"How should I invest my money?","Personal funds investment guidance","7","4","0.57"
"Where is the village of Congosto","Where is Congosto village?","7","6","0.86"
"Name the three best professional sports teams based in California.","Name the three best professional sports teams based in California.","11","11","1.0"
"What is Marketing Automation?","Marketing automation?","5","3","0.6"
"What are some ways to improve the value of your home?","Ways to increase home value?","12","6","0.5"
"Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.","Cars-based film idea with self-driving cars.","20","9","0.45"
"Which American president spoke Dutch as their first language?","Which American president spoke Dutch as their first language?","10","10","1.0"
"How many planets are there?","How many planets?","6","4","0.67"
"Help me come up with 3 ideas for a new business and how I can start it","Suggest 3 new business ideas and how to start them.","18","12","0.67"
"Tomb of Sand  was translated from Hindi to English by","Tomb of Sand Hindi→English translator?","12","9","0.75"
"What is more important in society, freedom or safety?","What is more important in society, freedom or safety?","11","11","1.0"
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?","From the peanut butter consumption reference text, when is National Peanut Butter Day?","18","15","0.83"
"What are good activities for two year old boys?","Good activities for 2-year-old boys?","10","9","0.9"
"How many compute services does Azure Synapse have?","Azure Synapse compute services count?","10","7","0.7"
"What does fasting mean?","What is fasting?","5","4","0.8"
"How many times Lewis Hamilton won the F1 Championship ?","How many F1 titles has Lewis Hamilton won?","11","10","0.91"
"What happens when you bring flammable objects closer to a fire source or extreme heat?","Effects of bringing flammable objects near a fire or extreme heat.","17","13","0.76"
"Give me a list of the last five european golden boots winner And tell me how many goals they scored.","List last five European Golden Boot winners and their goals.","21","11","0.52"
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam","String or percussion: Den-den daiko, Luc huyen cam","17","13","0.76"
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.","For each item, indicate useful/not useful for a high school backpack: Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.","38","32","0.84"
"What is the largest city on the Mississippi River?","Largest city on the Mississippi River?","10","7","0.7"
"What is the city of Denver like?","Describe Denver.","8","3","0.38"
"Provide a list of all numbers mentioned in the provided text and what they represent","List all numbers in the provided text and their meanings.","15","11","0.73"
"What are the differences between the New York Giants and New York Jets?","Differences between NY Giants and NY Jets?","14","9","0.64"
"Was Furze Hill an established community in the 19th century?","Was Furze Hill an established 19th-century community?","14","12","0.86"
"Should you buy new golf clubs when you are a beginner?","Should beginners buy new golf clubs?","12","7","0.58"
"Why should I use fabric softener?","Why use fabric softener?","8","6","0.75"
"The former Chairman of Tata Sons died in road accident  en route  from where?","The former Chairman of Tata Sons died in road accident  en route  from where?","17","17","1.0"
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.","Classify elk, frog, dog, cat, newt, and human as mammal, amphibian, or fish.","31","25","0.81"
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.","Classify 2-16 as 'prime' or 'composite'.","60","15","0.25"
"Summarize the rulers of the territory of Albania in this time period.","Summarize Albania's rulers in this period.","15","10","0.67"
"What is cloud computing in simple terms?","Explain cloud computing in simple terms.","8","7","0.88"
"What is one year?","What is one year?","5","5","1.0"
"What types of sport fish do most anglers target in New England?","What sport fish do most New England anglers target?","13","10","0.77"
"Give me a bunch of ways I can keep my house cool in the summer","List many ways to keep my house cool in summer.","15","11","0.73"
"What is wine?","Wine?","4","2","0.5"
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.","Candy bars or gum: Trident, Twix, Hubba Bubba, Snickers, Three Musketeers, Wrigleys.","33","28","0.85"
"What's the relation between the Kushan Empire and the Sassanid Empire in Iran?","Relation between Kushan Empire and Sassanid Empire in Iran?","17","13","0.76"
"Give me a list of things that pose a challenge to cryptos","List challenges to cryptos","13","5","0.38"
"What is the meaning of life?","Meaning of life?","7","4","0.57"
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman","Classify the following characters by publisher (Marvel or DC): Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman","45","37","0.82"
"Why are we like aquariums?","Why are we like aquariums?","8","8","1.0"
"Give me a bulleted list of countries that start with the letter B.","Bulleted list of countries starting with B.","15","9","0.6"
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.","Explain how LLMs/ChatGPT could revolutionize APIs in the future; provide an example of how these APIs might work.","37","26","0.7"
"Who are some of the most successful golfers in history?","Most successful golfers in history?","11","6","0.55"
"Which is a bird or fish: Red-throated diver, Redlip blenny","Red-throated diver: bird; Redlip blenny: fish.","17","15","0.88"
"Which types of fish contain the lowest levels of mercury?","Which fish have the lowest mercury levels?","11","8","0.73"
"How do you make an iced matcha latter?","How to make an iced matcha latte?","10","9","0.9"
"What is world of warcraft","What is WoW?","6","5","0.83"
"What is the best swimming form?","Best swimming form?","7","4","0.57"
"Which is the best place to Kayak in Austin?","Best kayak spots in Austin?","11","6","0.55"
"Who is the best men's test cricket player to have come from New Zealand?","Best NZ male Test cricketer?","15","8","0.53"
"What is the winter weather like in Salt Lake City, Utah?","Winter weather in Salt Lake City, Utah?","13","9","0.69"
"Whats the difference between a bass guitar and a regular guitar?","Difference between bass guitar and regular guitar?","12","8","0.67"
"What is a Gross domestic product (GDP)?","What is GDP (Gross Domestic Product)?","9","8","0.89"
"What is the last festival celebrated in Tihar and how long does the festival last?","Last Tihar festival and its duration?","17","8","0.47"
"What event John Johnstone won as a rider?","John Johnstone event won as rider?","10","8","0.8"
"What are the careers of your dream?","Your dream careers?","8","4","0.5"
"Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?","Yarns currency: super-yarn=10, mini-yarn=0.5; total for 2 super-yarns and 3 mini-yarns?","62","32","0.52"
"What is a Mormon?","Define Mormon.","5","3","0.6"
"What is the difference between a red delicious and a Granny Smith apple?","Difference between Red Delicious and Granny Smith apples?","14","9","0.64"
"List the Pokemon Go regions.","List Pokemon Go regions.","6","5","0.83"
"Who do you think is the most powerful Mandalorian in Star Wars history?","Who is the most powerful Mandalorian in Star Wars history?","16","13","0.81"
"Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.","From the passage, summarise how sunsets are viewed in the northern hemisphere across seasons.","18","17","0.94"
"What cities should someone visit during a trip to Morocco?","Which Moroccan cities to visit?","11","6","0.55"
"Which classical composer was deaf?","Deaf classical composer?","6","5","0.83"
"Who discovered the double-helix DNA structure?","Who discovered the DNA double helix?","10","8","0.8"
"Please provide a brief summary describing Canada","Brief summary of Canada","7","4","0.57"
"Why age 27 is given so much importance specially in Music industry?","Why is age 27 significant in the music industry?","14","11","0.79"
"What is Bollywood","What is Bollywood","3","3","1.0"
"What are Nanotube?","Explain nanotubes.","6","4","0.67"
"Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination","Write first paragraph of a blog post about Boston's appeal as a tourist destination.","17","16","0.94"
"What is a secured loan?","Secured loan definition?","6","5","0.83"
"Should I have Kids?","Should I have Kids?","5","5","1.0"
"Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.","3 gentle-movement, low-strain hobbies for a retiree.","35","14","0.4"
"Name some reasons it's great to live in Marin County, California.","Reasons to live in Marin County, CA.","13","9","0.69"
"Who was the first American to win a Nobel Peace?","First American to win a Nobel Peace?","11","8","0.73"
"What is the FA Cup?","FA Cup?","6","3","0.5"
"Are Schindler elevators safe","Are Schindler elevators safe","6","6","1.0"
"What are the 4 oceans on earth","List four oceans on Earth.","8","6","0.75"
"Did Harry Potter put his own name in the goblet of fire?","Did Harry Potter put his own name in the goblet of fire?","14","14","1.0"
"Why does it help to focus on the breath when practicing mindfulness?","Why does focusing on the breath help mindfulness?","13","9","0.69"
"What's the best way to learn how to snowboard?","Best way to learn to snowboard?","10","7","0.7"
"What was Angie Thomas's first published novel?","Angie Thomas's first published novel?","9","8","0.89"
"Based on this paragraph, how many younger siblings did Kennedy have?","How many younger siblings did Kennedy have based on this paragraph?","13","12","0.92"
"What are some of the common elements of visual design?","Common elements of visual design?","11","6","0.55"
"What is the difference between a shrub and a tree?","Difference between shrub and tree?","11","6","0.55"
"As an expert skier, what are the top resorts in the US to go skiing?","As an expert skier, which US ski resorts are best?","17","12","0.71"
"Which characters belong to DC or Marvel Universe? Hulk, Spectre","DC or Marvel? Hulk, Spectre","13","8","0.62"
"Extract why Tim Lincecum was called ""The Freak""","Why was Tim Lincecum nicknamed The Freak?","12","11","0.92"
"Which players won the men's singles grand slam tennis tournaments in 2022.","2022 men's singles grand slam winners.","15","8","0.53"
"Can you tell me something about Stanley J. Goldberg","Tell me about Stanley J. Goldberg.","10","8","0.8"
"Please summarize the causes and cure for color blindness given in the passage?","Summarize color blindness causes and cure from the passage.","14","12","0.86"
"How can I improve my finances?","Ways to improve my finances?","7","6","0.86"
"What is Zenthoefer Furs","What is Zenthoefer Furs","7","7","1.0"
"What are the three branches of the US Federal Government?","Three branches of the US Federal Government?","11","8","0.73"
"When rock climbing, what is the difference between lead climbing and top rope climbing?","Difference between lead climbing and top-rope climbing?","16","10","0.62"
"Which is a species of fish? Mola mola or Molar","Which fish species: Mola mola or Molar?","13","11","0.85"
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.","Imagine a world with fixed life expectancy at birth; people can donate 3 years of life to extend another’s life at the donor’s expense. Describe a likely scenario of manipulated, coerced donation.","61","40","0.66"
"What makes a good sales account executive?","What makes a good sales account executive?","8","8","1.0"
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.","Which are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.","31","28","0.9"
"Think up some openings for beginners to the game of Chess","Provide beginner chess openings.","11","5","0.45"
"Give me a list of popular current artists in the EDM category.","List popular current EDM artists.","13","6","0.46"
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.","Which sports are easiest for short players to succeed in: baseball, soccer, basketball, bowling?","23","19","0.83"
"What is the appeal of Flathead Lake as a Summer vacation destination?","Flathead Lake appeal as a summer vacation destination?","14","10","0.71"
"What's the difference between tennis and pickleball?","Tennis vs pickleball difference?","9","7","0.78"
"What is Linux?","Linux?","4","2","0.5"
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.","From a Jen Shah reference text, provide: fame source; charge date; verdict; sentencing date.","32","20","0.62"
"What are the classifications of Academic Degrees?","Academic degree classifications?","8","4","0.5"
"What types of problems in government could AI be used to solve","What government problems could AI solve?","12","7","0.58"
"Why isn't multi-threading making my Python code faster? How can I fix it.","Why doesn't Python threading speed up my code? How can I fix it?","17","15","0.88"
