original,original_token_count
Give me five ways in which I can make my homebrew beer more interesting,15
How many Grammy Awards has Bad Bunny won?,9
When was the first Reading railway station opened?,9
What is HiFI?,5
What is a brown eared pheasant?,9
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",18
Is it true that Lewis Hamilton won the championship in his first F1 season?,16
What are some kinds of embroidery stitches for writing letters?,11
What are the most common injuries in rowing?,9
What is a kite?,5
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",45
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",27
What is a good way to get around without a car?,12
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",19
"Why is Santa Cruz, California a great place to live?",12
Give me some ideas to manage my manager.,9
Who was boxer John Baldwin,5
"Identify which instrument is string or percussion: Samphor, Viola toeria",15
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",40
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",24
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,21
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},24
Which products apple sell?,5
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,31
Please describe  what is oil and give me a list of it’s applications.,16
List 6 different types of rain in Seattle,9
What is investment banking?,5
I started a new company named Greystone Inc. What do we do?,15
Tell me whether or not these foods are on EWG's dirty dozen list,15
How much music theory knowledge is required to compose music?,11
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",29
Summarize in one sentence this article about a famous song.,13
What is the Maareech Advanced Torpedo Defence System (ATDS)?,15
Change the following passage to past tense,7
What is the tallest mountain in the continental US?,10
Who is Shoji Hashimoto?,7
What are some of the best comedy movies of the 1980's?,15
In golf what do the Americans call an albatross,11
What are common ingredients of a full english breakfast?,10
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",17
How do you operate a car with a manual transmission?,11
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,20
What are 5 potential uses for an empty La Croix can?,13
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",22
Why are so many US Hollywood films made in the state of Georgia?,14
How many managers have Arsenal had?,7
What is SVM?,5
What is the current capital of Japan?,8
What are some tools that every homeowner should have?,10
What is an apple?,5
write a short essay on California wild fire,8
Tell me about the 2017 Southeastern Conference football season,11
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,21
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",53
What are some different things you should bring with you on a day hiking trip?,16
How long does it take for a mustard seed to germinate?,13
Which is a species of fish? Sea dragon or Red bearded,13
"Categorize where each of these household items belong: bed, couch, desk",15
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",50
What are AirPods?,5
What is the difference between pets and cattle?,9
How do I put a bouquet of fresh flowers in a vase?,13
What should I do on a free afternoon in San Francisco?,12
"Identify which instrument is string or woodwind: Janzi, Gemshorn",15
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",16
What is the origin of the name of the herb Rosemary?,12
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",74
Wat id DNA annotation?,5
Who were Jaehaerys I Targaryen's children?,15
"In SQL, how can I filter table rows based on a column condition?",15
Who were the ten best baseball players in the history of the Boston Red Sox?,16
What makes the world go around?,7
"Who coined the phrase ""Bike-shedding"" and when?",13
Who is the best Formula 1 driver,8
What is Share capital in finance?,7
Give me some Mother's Day gift ideas.,8
Give me a list of ways that a runner can advance a base in baseball without there being a hit.,21
What are the types of RVs?,8
List the weapons of Goddess Durga in a comma separated manner.,13
What shapes are made up of straight lines?,9
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",21
Are The Smiths a good band?,8
What is an EV?,5
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",21
Name 10 colors,4
What is game of Cricket?,6
How much of American wine is produced in California?,10
"As a golfer, how can I fix my slice?",11
Who tends to participates in hackathons?,8
Which community of users on Twitter has the most 8-dollar-a-month verification?,16
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",30
What’s a typical dish in Brazil?,8
How should I invest my money?,7
Where is the village of Congosto,7
Name the three best professional sports teams based in California.,11
What is Marketing Automation?,5
What are some ways to improve the value of your home?,12
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,20
Which American president spoke Dutch as their first language?,10
How many planets are there?,6
Help me come up with 3 ideas for a new business and how I can start it,18
Tomb of Sand  was translated from Hindi to English by,12
"What is more important in society, freedom or safety?",11
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",18
What are good activities for two year old boys?,10
How many compute services does Azure Synapse have?,10
What does fasting mean?,5
How many times Lewis Hamilton won the F1 Championship ?,11
What happens when you bring flammable objects closer to a fire source or extreme heat?,17
Give me a list of the last five european golden boots winner And tell me how many goals they scored.,21
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",17
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",38
What is the largest city on the Mississippi River?,10
What is the city of Denver like?,8
Provide a list of all numbers mentioned in the provided text and what they represent,15
What are the differences between the New York Giants and New York Jets?,14
Was Furze Hill an established community in the 19th century?,14
Should you buy new golf clubs when you are a beginner?,12
Why should I use fabric softener?,8
The former Chairman of Tata Sons died in road accident  en route  from where?,17
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",31
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",60
Summarize the rulers of the territory of Albania in this time period.,15
What is cloud computing in simple terms?,8
What is one year?,5
What types of sport fish do most anglers target in New England?,13
Give me a bunch of ways I can keep my house cool in the summer,15
What is wine?,4
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",33
What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,17
Give me a list of things that pose a challenge to cryptos,13
What is the meaning of life?,7
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",45
Why are we like aquariums?,8
Give me a bulleted list of countries that start with the letter B.,15
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",37
Who are some of the most successful golfers in history?,11
"Which is a bird or fish: Red-throated diver, Redlip blenny",17
Which types of fish contain the lowest levels of mercury?,11
How do you make an iced matcha latter?,10
What is world of warcraft,6
What is the best swimming form?,7
Which is the best place to Kayak in Austin?,11
Who is the best men's test cricket player to have come from New Zealand?,15
"What is the winter weather like in Salt Lake City, Utah?",13
Whats the difference between a bass guitar and a regular guitar?,12
What is a Gross domestic product (GDP)?,9
What is the last festival celebrated in Tihar and how long does the festival last?,17
What event John Johnstone won as a rider?,10
What are the careers of your dream?,8
Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,62
What is a Mormon?,5
What is the difference between a red delicious and a Granny Smith apple?,14
List the Pokemon Go regions.,6
Who do you think is the most powerful Mandalorian in Star Wars history?,16
Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,18
What cities should someone visit during a trip to Morocco?,11
Which classical composer was deaf?,6
Who discovered the double-helix DNA structure?,10
Please provide a brief summary describing Canada,7
Why age 27 is given so much importance specially in Music industry?,14
What is Bollywood,3
What are Nanotube?,6
Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,17
What is a secured loan?,6
Should I have Kids?,5
Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,35
"Name some reasons it's great to live in Marin County, California.",13
Who was the first American to win a Nobel Peace?,11
What is the FA Cup?,6
Are Schindler elevators safe,6
What are the 4 oceans on earth,8
Did Harry Potter put his own name in the goblet of fire?,14
Why does it help to focus on the breath when practicing mindfulness?,13
What's the best way to learn how to snowboard?,10
What was Angie Thomas's first published novel?,9
"Based on this paragraph, how many younger siblings did Kennedy have?",13
What are some of the common elements of visual design?,11
What is the difference between a shrub and a tree?,11
"As an expert skier, what are the top resorts in the US to go skiing?",17
"Which characters belong to DC or Marvel Universe? Hulk, Spectre",13
"Extract why Tim Lincecum was called ""The Freak""",12
Which players won the men's singles grand slam tennis tournaments in 2022.,15
Can you tell me something about Stanley J. Goldberg,10
Please summarize the causes and cure for color blindness given in the passage?,14
How can I improve my finances?,7
What is Zenthoefer Furs,7
What are the three branches of the US Federal Government?,11
"When rock climbing, what is the difference between lead climbing and top rope climbing?",16
Which is a species of fish? Mola mola or Molar,13
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",61
What makes a good sales account executive?,8
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",31
Think up some openings for beginners to the game of Chess,11
Give me a list of popular current artists in the EDM category.,13
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",23
What is the appeal of Flathead Lake as a Summer vacation destination?,14
What's the difference between tennis and pickleball?,9
What is Linux?,4
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",32
What are the classifications of Academic Degrees?,8
What types of problems in government could AI be used to solve,12
Why isn't multi-threading making my Python code faster? How can I fix it.,17
Who is the best NBA player of all time?,10
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",38
How can I get better performance when querying a delta table?,12
Which coin of U.S currency has the most ridges.,12
Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,21
"From the passage provided, extract the state Lincoln was born in",12
What is FIFA?,4
why is Mahatma Gandhi loved by everyone?,9
What is Game of Thrones based on?,8
What are the benefits of collaborating on a tech blog with your customers?,14
"Given this paragraph, how many public high schools are in Arlington, Virginia?",15
What are all of the professional baseball teams in the state of Florida?,14
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",22
Extract what is Top Gun,5
Where to find the best croissant in San Francisco?,11
Do cats have nine lives?,6
What is Microsoft?,4
How do you make soap?,6
How would I get from an upstairs apartment to the parking garage?,13
What are three most commonly sung lyric soprano arias?,12
Cases of Anthrax were found in Kerala in which animals?,12
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",63
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",59
Can you describe what team effectiveness is?,8
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",24
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",37
Why do people like gardening?,6
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,28
"From the passage provided, extract the second studio album that Taylor Swift released.",15
Is there a World Taekwondo Grand Prix,9
"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",40
What is the best way to invest my money?,10
Do George Lucas and Steven Spielberg know each other?,10
Give me a list of the best bravo tv shows,10
What are the official languages of the United Nations?,10
What type of weather is San Francisco famous for?,10
What makes for a good photograph?,7
What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,20
"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",27
What are some movies that star Will Ferrell?,10
What is the plot of Harry Potter?,8
What is the old name for The Go Between Bridge?,11
Can I make chocolate at home?,7
How did Alfred Nobel make his money,7
What is the Trans Tahoe Relay?,7
When was the 8088 processor released?,9
How do you prepare for case study interview for digital transformation case?,13
"Identify which instrument is string or woodwind: Wheelharp, Clarinet",15
Which country makes the best coffee in the world?,10
"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",15
What was the Underground Railroad?,6
"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",20
What are the best social media sites,7
How many musicians performed in the world's largest rock band?,11
How has the video gaming industry evolved over the years ?,11
Give me a list of recommendations to quickly heal from an achilles rupture surgery.,16
Which team was relegated from the league at the conclusion of the 1991 Season?,18
What percussion instruments are easy to learn?,8
"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",21
Name all the books in the Harry Potter collection,9
"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",30
Why should we ban artificial sweeteners like aspartame?,12
Give me some ideas of kids items to stuff into Easter eggs.,13
"Identify which car manufacturer is German or American: Opel, GMC",12
What are the top reasons to become a vegan?,10
"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?",29
Why do cooks use kosher salt?,7
When was Lamb Air operating,5
What is the PGA Championship?,6
What fruits and vegetables are grown in lower-lying areas of Kenya?,14
Is Paris a good city to live in?,9
How are weather forecasts created?,6
Since when did the SR22 include a glass cockpit,10
Give me a bulleted list of the first ten MacOS (operating system) versions.,19
What do you know about the city of Aberdeen in Scotland?,12
What is the English Premier League?,7
"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",36
Please list down some key points  regarding governance system of Portland from the given text,16
Which river can you hike in Utah?,8
What is predictive maintenance?,5
Who are N-Dubz?,7
Write a haiku about how much I love pickles.,12
What is Terraform?,4
What are the two longest rivers located in the United States?,12
What are the words of House Reed?,8
What movies won best picture Oscars the last 5 years,11
"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",40
Why is Brazilian jiu jitsu an excellent martial art?,12
What is Cup Game?,5
"Which is a bird or fish: Blackchin, Black redstart",13
"Let’s solve the following math problem. Each rabbit has 4 feets and each duck has 2 feets. If there are in total 25 heads and 88 feets, how many rabbits and how many ducks are there?",48
"Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong",60
From the passage find the list of banks who supported Yes Bank in 2020. Display the results in comma separated format.,25
What is WestWorld?,5
Best beach vacation in the world,6
"From the paragraph, tell me what is the fourth longest natural arch in the world",16
What city in the United States is known for its Mardi Gras celebrations?,14
Give me three ideas for a fun dinner party,9
Why are dogs generally more popular than cats as pets?,11
What is Nando's?,6
"What does Cisco specialize in, what technology markets do they address, and what are their most successful products?",21
"Sally has 2 chickens, 3 cows and 2 motorcycles. Doug has 6 monkeys, 12 pigs and 2 tractors. Amy has 1 car, 10 cows and 6 ducks. How many farm animals do Sally, Doug and Amy have in total?",57
Why is nitrogen gas used during the packaging of potato chips?,12
What are the causes for Sensory processing disorder?,10
What is the greatest movie of all time?,9
What is cryptocurrency?,4
"According to this text, when did Disney become a public company?",13
"Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar.",36
Where did Gretel attend primary school?,8
"Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG",24
"In the United States of America, which state is the largest in size?",15
"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",31
Is skiing or snowboarding easier?,7
What was the Counter Reformation?,7
What is time series data?,6
Cauliflower rice is not that fun to eat in its bland form. Is there anything interesting and tasty I can cook with cauliflower rice?,27
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",25
How to raise a kitten?,6
What is engineering culture?,5
Who are the pianists that are considered masters in playing Bach's music?,15
"Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense",51
How are cats different than dogs?,7
What dog breed is a mix between a Cocker Spaniel and a Poodle?,17
What is the name of the largest red-light district in Amsterdam?,13
Why do people move to California?,7
Discuss at least two risks associated with scraping data from websites. Describe steps an analyst could take to mitigate those risks.,23
What is Brdinje,5
How are tornadoes formed?,6
"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?",24
Give me a bulleted list of the the first five books in the bible old testament?,18
What type of cheeses can you use to make a grilled cheese sandwich.,14
What is the tiny piece at the end of a shoelace called?,15
"What links Brazil, Uruguay, Mozambique and Angola",9
What the the effects of houseplants?,8
Who were the original 5 members of the Grateful Dead?,13
How is the The U.S. Naturalization Interview and test done?,14
What is Magical Thinking?,5
List top 5 people with most silver medals in the olympics,13
"Based on this paragraph, how many times has Joe Biden run for president and what characteristics make him unique among all past presidents?",25
What articles of clothes are often worn by people in summer months?,13
Which Dutch actress played Xenia Onatopp in the James Bond movie GoldenEye?,17
Which of the 10 largest earthquakes was the deadliest?,12
Give me some tips on how to train for a marathon.,12
Extract the names of the cities and rank them in alphabetical order?,13
Write a guide for how to catch a smallmouth bass.,12
"Which ones are metals and non metals: Copper, Hydrogen, Silver, Carbon, Gold, Nitrogen",20
Write a funny and whimsical horoscope reading,7
"From the passage provided, extract the date when the 34th Wisconsin Infantry Regiment was organized.",19
How did Robert Baratheon die?,8
"For the Zodiac sign Aries, Share some information from the given text.",14
"Without quoting from the text, can you summarise from wikipedia who Denis-Benjamin Viger was?",21
What is the best language in the world,8
"Tell me whether these are movies or film Directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",32
How do you improve your basketball handles?,8
What is the future trend of job industry,8
How do I cast on a knitting project?,9
Why do Filipinos like eating rice so much?,10
What are the benefits of division of labour?,9
"According to the paragraph below, what is Generative AI?",12
"Identify which instrument is string or percussion: Pambai, Steel Guitar",14
What mammal lays the largest eggs?,8
Increased money supply (i.e. money printing),11
What is CBT?,4
What is appealing about Charleston in South Carolina?,9
Give me a list of nice board games to play with friends,12
Where is Shuyga?,6
What's the best way to cook a soft-boiled egg?,12
"What is ""diglossia""?",7
Give me a bulleted list of the three most recent prime ministers of India,15
"How would you categorize the following sports into two groups; baseball, archery, decathlon, hockey",20
What is the second oldest ballpark in Major League Baseball?,12
What are some types of potatoes commonly grown in Ireland?,11
How do you know if you reached product market fit?,11
What are index funds?,5
How to calculate growth rate?,6
Name 10 of Kris Jenner's Grandchildren,9
"Categorize each of the following as either 'spicy', 'not spicy' or 'sometimes spicy': jalapenos, chilis, sriracha, chips, pizza, cocktails, fruit, milk",41
What is the Turkish drink that tastes similar to,9
How many campgrounds does Shenandoah National Park have?,12
Who was the first women to do the spacewalk?,11
"Tell me whether each South Park character is a kid or adult: Randy, Stan, Kyle, Butters, Sharon",23
What is the kiwi bird?,6
What is Unified Payments Interface (UPI) in India,11
What is a spiral staircase?,6
"Miles Davis, Rhianna, Elton John, John Coltrane, Taylor Swift, Amy Winehouse, Elvis, Billy Holiday. These are all musicians - list which of these are jazz musicians, and which are not.",45
"Extract the criticisms that modern portfolio theory faces from this link https://en.wikipedia.org/wiki/Modern_portfolio_theory, place them in a bullet list",30
Give me a list of things I can do with a bunch of extra money.,16
Which is considered the first human technology?,8
"Given this paragraph about the Cold War, why did the Soviets pull out of their war in Afghanistan?",21
Why did the Seattle Supersonics leave Seattle?,10
"Which of the following words starts with the letter S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",25
What does the Gini coefficient measure?,8
Give me some facts about Ethiopia?,7
What are the advantages to studying Engineering in college?,10
"According to the text below about UVA, name the UVA alumni that have won the Pulitzer Prize.",19
Summarize the Challenger Sales Methodology for me,10
Who are the three team managers that hold the record for the most appearances in the FIFA Club World Cup final?,22
Give me a bulleted list of the last 5 Super Bowl winning teams,15
Explain how a mechanical watch works,6
"Classify these objects based on their shape.
wheel, coin, CD, stamp, chess board",19
Why are all the planets and moons round in shape? What makes them round? Does there exist another shape?,22
what are the advantages of having a vegetable garden at home on the owners health?,16
"Can you tell me recipe to make a quick dessert , tell me one which is your favorite.",19
The album the ways to love a man by Tammy Wynette,12
Where to visit in Brazil?,6
which are rainbow colours violet red orange purple indigo pink blue black white yellow  green grey,18
What are some of the most common activities during winter in cold weather climates?,15
Who is Cindy Robinson?,5
Does Palmeiras have a Fifa club world cup?,10
"Given a reference text about Gennady Petrovich Lyachin, tell me when he joined the navy and when he was decommissioned.",30
How many cats did Freddie Mercury have?,8
Walter Koenig played which part in the Star Trek series,11
Write critical success factors for a proposal to a company called ABC for an Enterprise Application Integration (EAI) effort,22
Extract the reason why was Mark Hunt known as the King of Walk Offs,15
Monitor and Merrimac refer to what in the passage?,12
Could you write a poem about a standing desk?,10
"Classify each of the following as either titles by J.K. Rowling or Suzanne Collins: Harry Potter and the Sorcerer's Stone, The Ickabog, Fantastic Beasts and Where to Find Them, The Cuckoo's Calling, Harry Potter and the Order of the Phoenix, Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes",86
What is the largest city in Washington state?,9
"Tell me which months have 30 days and which have 31 days, based on this list: January, February, March, April, May, June, July, August, September, October, November, and December.",45
List down important points about prisoners and events from the given passage,12
What is the largest or biggest land animal?,9
What is the current reigning dynasty of Thailand?,9
What criteria should I be looking at when buying a new motorcycle?,13
What are the ten best restaurants in London?,9
"Is it a gas, liquid, or solid",9
Are plastic bags and containers bad for the environment?,10
"What are five totally distinct, creative ways to describe the usefulness of an idle mind?",17
What is an actuary?,6
"Tell me wether these are cities, or states? IL, chicago, Texas, Fremont, Washington, Washington DC, san jose, bay area",29
"Identify which instrument is string or percussion: Sabar, Sharud",13
What is the fastest car?,6
When is India's independence day?,6
Who won the 63rd staging of the Limerick Senior Hurling Championship?,18
Give me a list of 10 different SciFi movies and which year they were released,17
When did Hungary gain its independence?,7
Why do people enjoy surfing,5
Who is the 'sole Survivor' on the TV Show Survivor?,13
Why do companies play dividends?,6
Which major league baseball season is considered Sid Gordon's breakout year?,13
"Classify the cities based on whether they are located in Eritrea or Gabon.
Keren, Franceville, Asmara, Port-Gentil, Assab, Libreville",37
What is Depreciation,5
"Give me a list of the last five ""Best New Artist"" Grammy winners.",16
"In a bingo game, which number is represented by the phrase “two little ducks”?",17
What is knitting?,4
Please summarize the timeline of the Chinese Exclusion Act.,11
What are some foods to cook to celebrate St. Patrick's Day?,14
Which is longest road or highway or motorway in the world,11
What is Jenkins?,4
What are common swimming strokes?,6
Give me a bullet list of some popular dashboard and visualisation tools,13
What do you think about the existence of alien lifeform?,12
"Was the Pixie Lott song ""Mama Do"" ever the #1 single?",17
What language is HP GL,5
"Classify each of the following animals as being domesticated or wild: dog, bear, dolphin, cat, cow, hippo, rhino",29
How do I optimize my Kafka consumption in Spark for low latency?,13
Tell me about the football career of Adao,9
How can I learn to snowboard?,7
Write a brief passage arguing for mandating Electric Vehicles (EVs) over gas combustion vehicles in the United States.,23
"From the passage provided, extract the low end in Celsius of the optimal coffee extraction temperature range.",19
"Tell me if these drinks are alcoholic or not: Coca-Cola, Mountain Dew, Budweiser, Rum, Vodka, Tomato Juice, Orange Juice, Sprite, Tequila, Margarita",37
"Given this paragraph about WWII, how many fatalities happened?",11
How to play a forehead in tennis,7
"Which of the companies in this list are social media platforms: Twitter, Amazon, Instagram, Square, Venmo, Tiktok, Apple.",28
what is the current location of Voyager 1 spacecraft in the cosmos?,14
Give me 5 ways to use a ripe avocado,10
"List the ten episode titles from the sixth season of ""Game of Thrones"" in broadcast order.",19
What is the largest airline in the world ?,9
Name 5 popular musicians,5
