"original","compression","original_token_count","compression_token_count","compression_ratio","rouge_1","rouge_2","rouge_l"
"Did dinosaurs have lips?","Did dinosaurs have lips?","5","5","1.0","1.0","1.0","1.0"
"Are lilies safe for cats?","Are lilies safe for cats?","6","6","1.0","1.0","1.0","1.0"
"What is Sunshine Recession?","Sunshine Recession?","6","5","0.83","0.6667","0.5","0.6667"
"What is the currency in use in the Netherlands?","Currency used in the Netherlands?","10","6","0.6","0.7143","0.5","0.7143"
"What is the best tv series in the world","Best TV series worldwide?","9","5","0.56","0.4615","0.3636","0.4615"
"Who was the first to record the Needles and Pins song?","Who first recorded Needles and Pins?","13","8","0.62","0.7059","0.2667","0.7059"
"Provide me a list of the different types of harnesses used in rock climbing","List rock climbing harness types.","15","6","0.4","0.5263","0.1176","0.3158"
"Think of some family rules to promote a healthy family relationship","List family rules for a healthy family relationship.","11","9","0.82","0.6316","0.4706","0.6316"
"In the series A Song of Ice and Fire, who is the founder of House Karstark?","ASOIAF: who founded House Karstark?","20","12","0.6","0.2857","0.1053","0.2857"
"What is enriched air and why would divers dive with enriched air?","What is enriched air and why do divers use it?","13","11","0.85","0.6364","0.5","0.6364"
"What film won the 1943 Oscar as best film","1943 Best Picture winner?","11","6","0.55","0.3077","0.0","0.3077"
"which weighs more, cold or hot water?","which weighs more, cold or hot water?","9","9","1.0","1.0","1.0","1.0"
"Given this paragraph, what is the top speed of a Kia Stinger?","Kia Stinger top speed from this paragraph?","15","10","0.67","0.6316","0.3529","0.2105"
"Write a short paragraph about why you should not have both a pet cat and a pet bird.","Write a short paragraph on why you shouldn't keep both a cat and a bird.","19","16","0.84","0.7059","0.4375","0.7059"
"What is your favorite strip from the comic Calvin and Hobbes?","Your favorite Calvin and Hobbes strip?","13","8","0.62","0.7059","0.4","0.5882"
"What makes a formula one car so fast?","What makes F1 cars so fast?","9","8","0.89","0.7143","0.5","0.7143"
"Without quoting directly from the text give me a summary of the history of the Key Lime Pie.","Summarize the history of Key Lime Pie without direct quotes.","19","13","0.68","0.5714","0.3077","0.4286"
"What is LAPR?","What is LAPR?","5","5","1.0","1.0","1.0","1.0"
"Is beauty objective or subjective?","Is beauty objective or subjective?","6","6","1.0","1.0","1.0","1.0"
"Identify which instrument is string or percussion: Kpanlogo, Shamisen","String or percussion: Kpanlogo, Shamisen","14","10","0.71","0.7143","0.6667","0.7143"
"Why do potato chip bags become stale after opening?","Why do opened potato chip bags go stale?","10","9","0.9","0.8235","0.4","0.7059"
"Classify each of the following as a primary color or a secondary color","Classify each color as primary or secondary.","14","9","0.64","0.7","0.1111","0.6"
"Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?","Where are the British Virgin Islands (BVI) located and which islands comprise the BVI?","21","19","0.9","0.8","0.6429","0.8"
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?","Which benefits offspring more: outbreeding or inbreeding?","17","13","0.76","0.8","0.4615","0.4"
"What is the future for human?","Future of humanity?","7","4","0.57","0.4444","0.0","0.4444"
"Name some of the bravolebrities from Vanderpump Rules","Name Bravolebrities from Vanderpump Rules.","11","10","0.91","0.7692","0.5455","0.7692"
"Name some famous rock bands from the 1960s","Name famous 1960s rock bands.","11","9","0.82","0.7692","0.1818","0.6154"
"Who is Muhammad Ejaz Shafi","Who is Muhammad Ejaz Shafi","7","7","1.0","1.0","1.0","1.0"
"Who invented the telephone?","Who invented the telephone?","5","5","1.0","1.0","1.0","1.0"
"Who are the Smiths?","Who are the Smiths?","6","6","1.0","1.0","1.0","1.0"
"Give me five ways in which I can make my homebrew beer more interesting","Five ways to make my homebrew beer more interesting.","15","11","0.73","0.6957","0.5714","0.6957"
"How many Grammy Awards has Bad Bunny won?","How many Grammy Awards has Bad Bunny won?","9","9","1.0","1.0","1.0","1.0"
"When was the first Reading railway station opened?","When was the first Reading railway station opened?","9","9","1.0","1.0","1.0","1.0"
"What is HiFI?","What is HiFI?","5","5","1.0","1.0","1.0","1.0"
"What is a brown eared pheasant?","Describe brown-eared pheasant?","9","7","0.78","0.6","0.5","0.6"
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent","Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent","18","18","1.0","1.0","1.0","1.0"
"Is it true that Lewis Hamilton won the championship in his first F1 season?","Did Lewis Hamilton win the F1 title in his first season?","16","13","0.81","0.64","0.2609","0.56"
"What are some kinds of embroidery stitches for writing letters?","Lettering embroidery stitches: kinds?","11","7","0.64","0.5714","0.1667","0.2857"
"What are the most common injuries in rowing?","Most common rowing injuries?","9","5","0.56","0.6667","0.2","0.5"
"What is a kite?","Define kite","5","2","0.4","0.3333","0.0","0.3333"
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.","Identify sport (basketball, football, soccer) for each item: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, goalie gloves.","45","32","0.71","0.6667","0.4231","0.5926"
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?","From this Billie Eilish paragraph, who produced her debut single and what is her chart-topping single?","27","21","0.78","0.7692","0.5405","0.7179"
"What is a good way to get around without a car?","Best ways to get around without a car?","12","9","0.75","0.7368","0.7059","0.7368"
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise","Alive or extinct: Palaeophis, Giant Tortoise","19","14","0.74","0.7059","0.6667","0.7059"
"Why is Santa Cruz, California a great place to live?","Why is Santa Cruz, California a great place to live?","12","12","1.0","1.0","1.0","1.0"
"Give me some ideas to manage my manager.","Ideas to manage my manager.","9","6","0.67","0.7692","0.7273","0.7692"
"Who was boxer John Baldwin","Who was boxer John Baldwin","5","5","1.0","1.0","1.0","1.0"
"Identify which instrument is string or percussion: Samphor, Viola toeria","String or percussion: Samphor, Viola toeria","15","11","0.73","0.75","0.7143","0.75"
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.","House-find game: which of these are inside a house? car, chair, table, park, cloud, microwave.","40","24","0.6","0.5417","0.3913","0.4167"
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager","Classify as dark or light beers: porter, pilsner, stout, amber, lager","24","18","0.75","0.7857","0.4615","0.7857"
"Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters","Bulleted list: 5 highest mountains and their heights (m).","21","14","0.67","0.5714","0.3077","0.5714"
"Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description}","Extract all dates in this paragraph and list as bullets: {Date} - {Description}.","24","18","0.75","0.7097","0.4138","0.7097"
"Which products apple sell?","Apple products?","5","3","0.6","0.6667","0.0","0.3333"
"Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.","Write a short story: a person discovers a hidden room in their house; include a plot twist and a clear resolution at the end.","31","27","0.87","0.9057","0.7843","0.9057"
"Please describe  what is oil and give me a list of it’s applications.","Describe oil and list its applications.","16","7","0.44","0.5","0.1111","0.5"
"List 6 different types of rain in Seattle","List 6 different Seattle rain types","9","7","0.78","0.8571","0.3333","0.5714"
"What is investment banking?","What is investment banking?","5","5","1.0","1.0","1.0","1.0"
"I started a new company named Greystone Inc. What do we do?","New company Greystone Inc. What do we do?","15","11","0.73","0.8","0.6667","0.8"
"Tell me whether or not these foods are on EWG's dirty dozen list","Are these foods on the EWG Dirty Dozen list?","15","12","0.8","0.6957","0.2857","0.6087"
"How much music theory knowledge is required to compose music?","How much music theory knowledge is required to compose music?","11","11","1.0","1.0","1.0","1.0"
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo","Categorize as string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo","29","23","0.79","0.8","0.6429","0.8"
"Summarize in one sentence this article about a famous song.","One-sentence summary of this article about a famous song.","13","12","0.92","0.8","0.6667","0.8"
"What is the Maareech Advanced Torpedo Defence System (ATDS)?","Maareech Advanced Torpedo Defence System (ATDS): describe.","15","14","0.93","0.75","0.7143","0.75"
"Change the following passage to past tense","Change passage to past tense.","7","6","0.86","0.8333","0.6","0.8333"
"What is the tallest mountain in the continental US?","Tallest mountain in continental US?","10","7","0.7","0.7143","0.5","0.7143"
"Who is Shoji Hashimoto?","Shoji Hashimoto?","7","5","0.71","0.6667","0.5","0.6667"
"What are some of the best comedy movies of the 1980's?","Best 1980s comedy movies?","15","8","0.53","0.5","0.1429","0.375"
"In golf what do the Americans call an albatross","In golf what do the Americans call an albatross","11","11","1.0","1.0","1.0","1.0"
"What are common ingredients of a full english breakfast?","Common ingredients of a Full English breakfast?","10","8","0.8","0.875","0.8571","0.875"
"Plan for a three day road trip for May long weekend from Westfield, New Jersey","Plan for a three day road trip for May long weekend from Westfield, New Jersey","17","17","1.0","1.0","1.0","1.0"
"How do you operate a car with a manual transmission?","How to drive a manual transmission car?","11","8","0.73","0.5882","0.2667","0.4706"
"What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?","What is RCSB PDB (Research Collaboratory for Structural Bioinformatics Protein Data Bank)?","20","19","0.95","0.96","0.7826","0.8"
"What are 5 potential uses for an empty La Croix can?","List 5 uses for an empty La Croix can.","13","11","0.85","0.8","0.6667","0.8"
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?","Name the Winslow family's nerdy next-door neighbor in Family Matters.","22","14","0.64","0.6667","0.4286","0.6667"
"Why are so many US Hollywood films made in the state of Georgia?","Why are so many US Hollywood films made in Georgia?","14","11","0.79","0.8696","0.7619","0.8696"
"How many managers have Arsenal had?","How many Arsenal managers?","7","5","0.71","0.8","0.25","0.6"
"What is SVM?","Explain SVM.","5","4","0.8","0.4","0.0","0.4"
"What is the current capital of Japan?","Current capital of Japan?","8","5","0.62","0.7273","0.6667","0.7273"
"What are some tools that every homeowner should have?","What essential tools should homeowners have?","10","7","0.7","0.6667","0.0","0.5333"
"What is an apple?","Define apple.","5","3","0.6","0.3333","0.0","0.3333"
"write a short essay on California wild fire","write a short essay on California wild fire","8","8","1.0","1.0","1.0","1.0"
"Tell me about the 2017 Southeastern Conference football season","2017 SEC football season overview","11","6","0.55","0.4286","0.1667","0.4286"
"Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?","Who scored first in Austin FC's first home win of the 2021 MLS season?","21","18","0.86","0.7879","0.6452","0.7879"
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly","Classify as bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly","53","47","0.89","0.875","0.7826","0.875"
"What are some different things you should bring with you on a day hiking trip?","What should you bring on a day hike?","16","9","0.56","0.6957","0.2857","0.6087"
"How long does it take for a mustard seed to germinate?","Mustard seed germination time?","13","7","0.54","0.4","0.1538","0.4"
"Which is a species of fish? Sea dragon or Red bearded","Which is a species of fish? Sea dragon or Red bearded","13","13","1.0","1.0","1.0","1.0"
"Categorize where each of these household items belong: bed, couch, desk","Categorize locations: bed, couch, desk","15","9","0.6","0.5","0.2857","0.5"
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.","Classify Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills, Woolloongabba by whether they border the Brisbane River.","50","40","0.8","0.625","0.5652","0.4583"
"What are AirPods?","Explain AirPods.","5","4","0.8","0.4","0.0","0.4"
"What is the difference between pets and cattle?","Difference between pets and cattle?","9","6","0.67","0.7692","0.7273","0.7692"
"How do I put a bouquet of fresh flowers in a vase?","How to arrange a bouquet of fresh flowers in a vase?","13","12","0.92","0.7826","0.6667","0.7826"
"What should I do on a free afternoon in San Francisco?","What to do on a free afternoon in SF?","12","10","0.83","0.7","0.5556","0.7"
"Identify which instrument is string or woodwind: Janzi, Gemshorn","Identify which instrument is string or woodwind: Janzi, Gemshorn","15","15","1.0","1.0","1.0","1.0"
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana","Alive or extinct: Pliosaur, Marine Iguana","16","11","0.69","0.7059","0.6667","0.7059"
"What is the origin of the name of the herb Rosemary?","Origin of rosemary's name?","12","6","0.5","0.5","0.1429","0.375"
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air","Classify each title as Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air","74","68","0.92","0.9444","0.8868","0.9259"
"Wat id DNA annotation?","DNA annotation definition?","5","4","0.8","0.5714","0.4","0.5714"
"Who were Jaehaerys I Targaryen's children?","Jaehaerys I Targaryen's children?","15","13","0.87","0.8333","0.8","0.8333"
"In SQL, how can I filter table rows based on a column condition?","SQL: filter rows by column condition?","15","8","0.53","0.5263","0.1176","0.5263"
"Who were the ten best baseball players in the history of the Boston Red Sox?","Top 10 all-time Boston Red Sox players.","16","10","0.62","0.3478","0.1905","0.2609"
"What makes the world go around?","What makes the world go around?","7","7","1.0","1.0","1.0","1.0"
"Who coined the phrase ""Bike-shedding"" and when?","Who coined the phrase ""Bike-shedding"" and when?","13","13","1.0","1.0","1.0","1.0"
"Who is the best Formula 1 driver","Best F1 driver?","8","5","0.62","0.4","0.0","0.4"
"What is Share capital in finance?","What is share capital?","7","5","0.71","0.8","0.75","0.8"
"Give me some Mother's Day gift ideas.","Mother's Day gift ideas.","8","6","0.75","0.7692","0.7273","0.7692"
"Give me a list of ways that a runner can advance a base in baseball without there being a hit.","List ways a baserunner can advance bases without a hit.","21","13","0.62","0.6","0.1429","0.6"
"What are the types of RVs?","Types of RVs?","8","5","0.62","0.6667","0.5714","0.6667"
"List the weapons of Goddess Durga in a comma separated manner.","List Durga's weapons, comma-separated.","13","9","0.69","0.5882","0.1333","0.4706"
"What shapes are made up of straight lines?","Shapes formed by straight lines?","9","6","0.67","0.4615","0.1818","0.4615"
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand","Odd one out: hangar, platform, dock, park, bus stand","21","15","0.71","0.5","0.4545","0.5"
"Are The Smiths a good band?","Are The Smiths good?","8","6","0.75","0.8","0.5","0.8"
"What is an EV?","What is EV?","5","4","0.8","0.8571","0.4","0.8571"
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.","From a reference text on Run Towards the Danger, how many essays are in the collection?","21","18","0.86","0.7429","0.5455","0.7429"
"Name 10 colors","Name 10 colors","4","4","1.0","1.0","1.0","1.0"
"What is game of Cricket?","What is cricket?","6","4","0.67","0.75","0.3333","0.75"
"How much of American wine is produced in California?","How much of American wine is produced in California?","10","10","1.0","1.0","1.0","1.0"
"As a golfer, how can I fix my slice?","Golfer: how to fix my slice?","11","9","0.82","0.6667","0.4615","0.6667"
"Who tends to participates in hackathons?","Who tends to participates in hackathons?","8","8","1.0","1.0","1.0","1.0"
"Which community of users on Twitter has the most 8-dollar-a-month verification?","Which Twitter user community has the most $8/mo verifications?","16","13","0.81","0.75","0.2727","0.5833"
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift","Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift","30","30","1.0","1.0","1.0","1.0"
"What’s a typical dish in Brazil?","Typical Brazilian dish?","8","4","0.5","0.4","0.0","0.4"
"How should I invest my money?","Personal funds investment guidance","7","4","0.57","0.2","0.0","0.2"
"Where is the village of Congosto","Where is Congosto village?","7","6","0.86","0.8","0.25","0.6"
"Name the three best professional sports teams based in California.","Name the three best professional sports teams based in California.","11","11","1.0","1.0","1.0","1.0"
"What is Marketing Automation?","Marketing automation?","5","3","0.6","0.6667","0.5","0.6667"
"What are some ways to improve the value of your home?","Ways to increase home value?","12","6","0.5","0.5","0.1429","0.375"
"Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.","Cars-based film idea with self-driving cars.","20","9","0.45","0.5185","0.16","0.2963"
"Which American president spoke Dutch as their first language?","Which American president spoke Dutch as their first language?","10","10","1.0","1.0","1.0","1.0"
"How many planets are there?","How many planets?","6","4","0.67","0.75","0.6667","0.75"
"Help me come up with 3 ideas for a new business and how I can start it","Suggest 3 new business ideas and how to start them.","18","12","0.67","0.5185","0.16","0.4444"
"Tomb of Sand  was translated from Hindi to English by","Tomb of Sand Hindi→English translator?","12","9","0.75","0.75","0.2857","0.625"
"What is more important in society, freedom or safety?","What is more important in society, freedom or safety?","11","11","1.0","1.0","1.0","1.0"
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?","From the peanut butter consumption reference text, when is National Peanut Butter Day?","18","15","0.83","0.8276","0.5185","0.6207"
"What are good activities for two year old boys?","Good activities for 2-year-old boys?","10","9","0.9","0.75","0.5714","0.75"
"How many compute services does Azure Synapse have?","Azure Synapse compute services count?","10","7","0.7","0.6154","0.3636","0.3077"
"What does fasting mean?","What is fasting?","5","4","0.8","0.5714","0.0","0.5714"
"How many times Lewis Hamilton won the F1 Championship ?","How many F1 titles has Lewis Hamilton won?","11","10","0.91","0.7059","0.4","0.5882"
"What happens when you bring flammable objects closer to a fire source or extreme heat?","Effects of bringing flammable objects near a fire or extreme heat.","17","13","0.76","0.6154","0.4167","0.6154"
"Give me a list of the last five european golden boots winner And tell me how many goals they scored.","List last five European Golden Boot winners and their goals.","21","11","0.52","0.6","0.4286","0.6"
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam","String or percussion: Den-den daiko, Luc huyen cam","17","13","0.76","0.8182","0.8","0.8182"
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.","For each item, indicate useful/not useful for a high school backpack: Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.","38","32","0.84","0.7059","0.6122","0.7059"
"What is the largest city on the Mississippi River?","Largest city on the Mississippi River?","10","7","0.7","0.8","0.7692","0.8"
"What is the city of Denver like?","Describe Denver.","8","3","0.38","0.2222","0.0","0.2222"
"Provide a list of all numbers mentioned in the provided text and what they represent","List all numbers in the provided text and their meanings.","15","11","0.73","0.64","0.4348","0.64"
"What are the differences between the New York Giants and New York Jets?","Differences between NY Giants and NY Jets?","14","9","0.64","0.5","0.2222","0.5"
"Was Furze Hill an established community in the 19th century?","Was Furze Hill an established 19th-century community?","14","12","0.86","0.8889","0.625","0.7778"
"Should you buy new golf clubs when you are a beginner?","Should beginners buy new golf clubs?","12","7","0.58","0.7059","0.4","0.5882"
"Why should I use fabric softener?","Why use fabric softener?","8","6","0.75","0.8","0.5","0.8"
"The former Chairman of Tata Sons died in road accident  en route  from where?","The former Chairman of Tata Sons died in road accident  en route  from where?","17","17","1.0","1.0","1.0","1.0"
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.","Classify elk, frog, dog, cat, newt, and human as mammal, amphibian, or fish.","31","25","0.81","0.8125","0.6667","0.5"
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.","Classify 2-16 as 'prime' or 'composite'.","60","15","0.25","0.4667","0.2143","0.3333"
"Summarize the rulers of the territory of Albania in this time period.","Summarize Albania's rulers in this period.","15","10","0.67","0.6316","0.1176","0.5263"
"What is cloud computing in simple terms?","Explain cloud computing in simple terms.","8","7","0.88","0.7692","0.7273","0.7692"
"What is one year?","What is one year?","5","5","1.0","1.0","1.0","1.0"
"What types of sport fish do most anglers target in New England?","What sport fish do most New England anglers target?","13","10","0.77","0.8571","0.5263","0.6667"
"Give me a bunch of ways I can keep my house cool in the summer","List many ways to keep my house cool in summer.","15","11","0.73","0.56","0.3478","0.56"
"What is wine?","Wine?","4","2","0.5","0.5","0.0","0.5"
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.","Candy bars or gum: Trident, Twix, Hubba Bubba, Snickers, Three Musketeers, Wrigleys.","33","28","0.85","0.8276","0.7407","0.8276"
"What's the relation between the Kushan Empire and the Sassanid Empire in Iran?","Relation between Kushan Empire and Sassanid Empire in Iran?","17","13","0.76","0.7826","0.5714","0.7826"
"Give me a list of things that pose a challenge to cryptos","List challenges to cryptos","13","5","0.38","0.5","0.2857","0.5"
"What is the meaning of life?","Meaning of life?","7","4","0.57","0.6667","0.5714","0.6667"
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman","Classify the following characters by publisher (Marvel or DC): Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman","45","37","0.82","0.75","0.5556","0.75"
"Why are we like aquariums?","Why are we like aquariums?","8","8","1.0","1.0","1.0","1.0"
"Give me a bulleted list of countries that start with the letter B.","Bulleted list of countries starting with B.","15","9","0.6","0.7","0.4444","0.7"
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.","Explain how LLMs/ChatGPT could revolutionize APIs in the future; provide an example of how these APIs might work.","37","26","0.7","0.8","0.6047","0.8"
"Who are some of the most successful golfers in history?","Most successful golfers in history?","11","6","0.55","0.6667","0.6154","0.6667"
"Which is a bird or fish: Red-throated diver, Redlip blenny","Red-throated diver: bird; Redlip blenny: fish.","17","15","0.88","0.7778","0.375","0.5556"
"Which types of fish contain the lowest levels of mercury?","Which fish have the lowest mercury levels?","11","8","0.73","0.7059","0.1333","0.5882"
"How do you make an iced matcha latter?","How to make an iced matcha latte?","10","9","0.9","0.6667","0.4615","0.6667"
"What is world of warcraft","What is WoW?","6","5","0.83","0.5","0.3333","0.5"
"What is the best swimming form?","Best swimming form?","7","4","0.57","0.6667","0.5714","0.6667"
"Which is the best place to Kayak in Austin?","Best kayak spots in Austin?","11","6","0.55","0.5714","0.1667","0.5714"
"Who is the best men's test cricket player to have come from New Zealand?","Best NZ male Test cricketer?","15","8","0.53","0.3","0.1111","0.3"
