original,original_token_count,compressed,compressed_token_count
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",46,"Which items are useful for transportation: glass of wine, lamp, train, ice cube tray, plane, bicycle, apple, scooter",28
"Identify which instrument is string or woodwind: Panduri, Zurna",17,"Panduri, Zurna: string or woodwind",12
What is the average lifespan of a Golden Retriever?,12,Golden Retriever average lifespan,5
Who became king of Holland in 1806?,10,1806 Holland king,5
What is best Playstation or Xbox,7,What is best Playstation or Xbox,7
Who played Billy the Kid in The Left Handed Gun,12,Left Handed Gun Billy Kid actor,8
why did Syd Barrett left the Pink Floyd?,10,Why did Syd Barrett leave Pink Floyd,8
what is REST API,5,REST API,3
What is underwriting?,5,What is underwriting,4
Give me a list of some characteristics of a good coffee shop?,15,List some characteristics of good coffee shop,7
Please summarize what Linkedin does.,8,Please summarize what Linkedin does,7
Who saved Andromeda from the sea monster,10,Who saved Andromeda from sea monster,9
How can I contribute to Spark?,7,How to contribute to Spark,5
"Who are ''The Lumières"" ?",11,Who are Lumières,4
Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,38,"From text, summarize main arguments for U.S. slavery reparations and estimated cost, using examples",20
When was the wheel invented?,6,Wheel invention date,3
write a scene between two actors discussing movie Inception,11,Write scene between two actors discussing Inception,8
Did dinosaurs have lips?,6,Did dinosaurs have lips,5
Are lilies safe for cats?,9,Are lilies safe for cats,8
What is Sunshine Recession?,6,Sunshine Recession,3
What is the currency in use in the Netherlands?,10,Currency used in Netherlands,4
What is the best tv series in the world,11,Best TV series worldwide,4
Who was the first to record the Needles and Pins song?,13,Who first recorded Needles and Pins,7
Provide me a list of the different types of harnesses used in rock climbing,17,List rock climbing harness types,5
Think of some family rules to promote a healthy family relationship,12,List family rules for healthy family relationship,7
"In the series A Song of Ice and Fire, who is the founder of House Karstark?",20,ASOIAF: who founded House Karstark,11
What is enriched air and why would divers dive with enriched air?,15,What is enriched air and why do divers use it,11
What film won the 1943 Oscar as best film,9,1943 Best Picture winner,4
"which weighs more, cold or hot water?",10,"which weighs more, cold or hot water",9
"Given this paragraph, what is the top speed of a Kia Stinger?",17,Kia Stinger top speed from this paragraph,9
Write a short paragraph about why you should not have both a pet cat and a pet bird.,22,Write short paragraph on why you shouldn't keep both cat and bird,14
What is your favorite strip from the comic Calvin and Hobbes?,14,Your favorite Calvin and Hobbes strip,8
What makes a formula one car so fast?,10,What makes F1 cars so fast,7
Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,23,Summarize history of Key Lime Pie without direct quotes,12
What is LAPR?,5,What is LAPR,4
Is beauty objective or subjective?,7,Is beauty objective or subjective,6
"Identify which instrument is string or percussion: Kpanlogo, Shamisen",18,"String or percussion: Kpanlogo, Shamisen",13
Why do potato chip bags become stale after opening?,12,Why do opened potato chip bags go stale,10
Classify each of the following as a primary color or a secondary color,16,Classify each color as primary or secondary,8
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,22,Where are British Virgin Islands (BVI) located and which islands comprise BVI,16
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",22,Which benefits offspring more: outbreeding or inbreeding,17
What is the future for human?,7,Future of humanity,3
Name some of the bravolebrities from Vanderpump Rules,15,Name Bravolebrities from Vanderpump Rules,11
Name some famous rock bands from the 1960s,9,Name famous 1960s rock bands,6
Who is Muhammad Ejaz Shafi,9,Who is Muhammad Ejaz Shafi,9
Who invented the telephone?,5,Who invented telephone,3
Who are the Smiths?,6,Who are Smiths,4
Give me five ways in which I can make my homebrew beer more interesting,16,Five ways to make my homebrew beer more interesting,11
How many Grammy Awards has Bad Bunny won?,11,How many Grammy Awards has Bad Bunny won,10
When was the first Reading railway station opened?,9,When was first Reading railway station opened,7
What is HiFI?,5,What is HiFI,4
What is a brown eared pheasant?,16,Describe brown-eared pheasant,13
"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",20,"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",20
Is it true that Lewis Hamilton won the championship in his first F1 season?,17,Did Lewis Hamilton win F1 title in his first season,11
What are some kinds of embroidery stitches for writing letters?,11,Lettering embroidery stitches: kinds,6
What are the most common injuries in rowing?,10,Most common rowing injuries,5
What is a kite?,7,Define kite,4
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",58,"Identify sport (basketball, football, soccer) for each item: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, goalie gloves",46
"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",31,"From this Billie Eilish paragraph, who produced her debut single and what is her chart-topping single",24
What is a good way to get around without a car?,14,Best ways to get around without car,7
"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",22,"Alive or extinct: Palaeophis, Giant Tortoise",17
"Why is Santa Cruz, California a great place to live?",13,"Why is Santa Cruz, California great place to live",10
Give me some ideas to manage my manager.,9,Ideas to manage my manager,5
Who was boxer John Baldwin,6,Who was boxer John Baldwin,6
"Identify which instrument is string or percussion: Samphor, Viola toeria",17,"String or percussion: Samphor, Viola toeria",12
"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",42,"House-find game: which of these are inside house? car, chair, table, park, cloud, microwave",23
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",34,"Classify as dark or light beers: porter, pilsner, stout, amber, lager",26
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,23,Bulleted list: 5 highest mountains and their heights (m),15
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},30,Extract all dates in this paragraph and list as bullets: {Date} - {Description},24
Which products apple sell?,5,Apple products,2
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,37,Write short story: person discovers hidden room in their house; include plot twist and clear resolution at end,21
Please describe  what is oil and give me a list of it’s applications.,17,Describe oil and list its applications,7
List 6 different types of rain in Seattle,8,List 6 different Seattle rain types,6
What is investment banking?,5,What is investment banking,4
I started a new company named Greystone Inc. What do we do?,16,New company Greystone Inc. What do we do,10
Tell me whether or not these foods are on EWG's dirty dozen list,16,Are these foods on EWG Dirty Dozen list,12
How much music theory knowledge is required to compose music?,11,How much music theory knowledge is required to compose music,10
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",35,"Categorize as string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",29
Summarize in one sentence this article about a famous song.,14,One-sentence summary of this article about famous song,11
What is the Maareech Advanced Torpedo Defence System (ATDS)?,17,Maareech Advanced Torpedo Defence System (ATDS): describe,15
Change the following passage to past tense,9,Change passage to past tense,7
What is the tallest mountain in the continental US?,11,Tallest mountain in continental US,6
Who is Shoji Hashimoto?,8,Shoji Hashimoto,5
What are some of the best comedy movies of the 1980's?,14,Best 1980s comedy movies,5
In golf what do the Americans call an albatross,12,In golf what do Americans call albatross,10
What are common ingredients of a full english breakfast?,11,Common ingredients of Full English breakfast,6
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",18,"Plan for three day road trip for May long weekend from Westfield, New Jersey",16
How do you operate a car with a manual transmission?,13,How to drive manual transmission car,6
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,28,What is RCSB PDB (Research Collaboratory for Structural Bioinformatics Protein Data Bank),27
What are 5 potential uses for an empty La Croix can?,13,List 5 uses for empty La Croix can,9
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",31,Name Winslow family's nerdy next-door neighbor in Family Matters,19
Why are so many US Hollywood films made in the state of Georgia?,14,Why are so many US Hollywood films made in Georgia,10
How many managers have Arsenal had?,7,How many Arsenal managers,4
What is SVM?,5,Explain SVM,3
What is the current capital of Japan?,8,Current capital of Japan,4
What are some tools that every homeowner should have?,10,What essential tools should homeowners have,6
What is an apple?,5,Define apple,3
write a short essay on California wild fire,9,write short essay on California wild fire,7
Tell me about the 2017 Southeastern Conference football season,10,2017 SEC football season overview,6
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,23,Who scored first in Austin FC's first home win of 2021 MLS season,17
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",66,"Classify as bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",59
What are some different things you should bring with you on a day hiking trip?,17,What should you bring on day hike,7
How long does it take for a mustard seed to germinate?,14,Mustard seed germination time,7
Which is a species of fish? Sea dragon or Red bearded,15,Which is species of fish? Sea dragon or Red bearded,13
"Categorize where each of these household items belong: bed, couch, desk",17,"Categorize locations: bed, couch, desk",11
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",56,"Classify Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills, Woolloongabba by whether they border Brisbane River",43
What are AirPods?,6,Explain AirPods,4
What is the difference between pets and cattle?,9,Difference between pets and cattle,5
How do I put a bouquet of fresh flowers in a vase?,15,How to arrange bouquet of fresh flowers in vase,9
What should I do on a free afternoon in San Francisco?,13,What to do on free afternoon in SF,9
"Identify which instrument is string or woodwind: Janzi, Gemshorn",16,"Identify which instrument is string or woodwind: Janzi, Gemshorn",16
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",23,"Alive or extinct: Pliosaur, Marine Iguana",18
What is the origin of the name of the herb Rosemary?,14,Origin of rosemary's name,6
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",81,"Classify each title as Isaac Asimov or Jules Verne: Pebble in Sky, Stars, Like Dust, Foundation, Robots of Dawn, Naked Sun, Around World in Eighty Days, From Earth to Moon, Martin Paz, Journey to Centre of Earth, Drama in Air",63
Wat id DNA annotation?,8,DNA annotation definition,3
Who were Jaehaerys I Targaryen's children?,16,Jaehaerys I Targaryen's children,13
"In SQL, how can I filter table rows based on a column condition?",17,SQL: filter rows by column condition,7
Who were the ten best baseball players in the history of the Boston Red Sox?,18,Top 10 all-time Boston Red Sox players,10
What makes the world go around?,7,What makes world go around,5
"Who coined the phrase ""Bike-shedding"" and when?",15,"Who coined phrase ""Bike-shedding"" and when",13
Who is the best Formula 1 driver,7,Best F1 driver,4
What is Share capital in finance?,7,What is share capital,4
Give me some Mother's Day gift ideas.,10,Mother's Day gift ideas,6
Give me a list of ways that a runner can advance a base in baseball without there being a hit.,26,List ways baserunner can advance bases without hit,9
What are the types of RVs?,8,Types of RVs,5
List the weapons of Goddess Durga in a comma separated manner.,18,"List Durga's weapons, comma-separated",17
What shapes are made up of straight lines?,9,Shapes formed by straight lines,6
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",21,"Odd one out: hangar, platform, dock, park, bus stand",16
Are The Smiths a good band?,9,Are Smiths good,4
What is an EV?,6,What is EV,4
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",25,"From reference text on Run Towards Danger, how many essays are in collection",17
Name 10 colors,3,Name 10 colors,3
What is game of Cricket?,6,What is cricket,3
How much of American wine is produced in California?,10,How much of American wine is produced in California,9
"As a golfer, how can I fix my slice?",13,Golfer: how to fix my slice,8
Who tends to participates in hackathons?,11,Who tends to participates in hackathons,10
Which community of users on Twitter has the most 8-dollar-a-month verification?,18,Which Twitter user community has most $8/mo verifications,12
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",39,"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",39
What’s a typical dish in Brazil?,10,Typical Brazilian dish,4
How should I invest my money?,7,Personal funds investment guidance,4
Where is the village of Congosto,8,Where is Congosto village,6
Name the three best professional sports teams based in California.,12,Name three best professional sports teams based in California,10
What is Marketing Automation?,5,Marketing automation,2
What are some ways to improve the value of your home?,12,Ways to increase home value,6
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,26,Cars-based film idea with self-driving cars,13
Which American president spoke Dutch as their first language?,10,Which American president spoke Dutch as their first language,9
How many planets are there?,7,How many planets,4
Help me come up with 3 ideas for a new business and how I can start it,18,Suggest 3 new business ideas and how to start them,12
Tomb of Sand  was translated from Hindi to English by,11,Tomb of Sand Hindi→English translator,8
"What is more important in society, freedom or safety?",11,"What is more important in society, freedom or safety",10
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",18,"From peanut butter consumption reference text, when is National Peanut Butter Day",13
What are good activities for two year old boys?,10,Good activities for 2-year-old boys,8
How many compute services does Azure Synapse have?,11,Azure Synapse compute services count,7
What does fasting mean?,6,What is fasting,4
How many times Lewis Hamilton won the F1 Championship ?,12,How many F1 titles has Lewis Hamilton won,9
What happens when you bring flammable objects closer to a fire source or extreme heat?,19,Effects of bringing flammable objects near fire or extreme heat,14
Give me a list of the last five european golden boots winner And tell me how many goals they scored.,22,List last five European Golden Boot winners and their goals,10
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",24,"String or percussion: Den-den daiko, Luc huyen cam",19
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",40,"For each item, indicate useful/not useful for high school backpack: Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop",31
What is the largest city on the Mississippi River?,10,Largest city on Mississippi River,7
What is the city of Denver like?,8,Describe Denver,3
Provide a list of all numbers mentioned in the provided text and what they represent,16,List all numbers in provided text and their meanings,10
What are the differences between the New York Giants and New York Jets?,16,Differences between NY Giants and NY Jets,10
Was Furze Hill an established community in the 19th century?,13,Was Furze Hill established 19th-century community,10
Should you buy new golf clubs when you are a beginner?,13,Should beginners buy new golf clubs,6
Why should I use fabric softener?,9,Why use fabric softener,6
The former Chairman of Tata Sons died in road accident  en route  from where?,18,former Chairman of Tata Sons died in road accident en route from where,16
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",39,"Classify elk, frog, dog, cat, newt, and human as mammal, amphibian, or fish",31
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",35,Classify 2-16 as 'prime' or 'composite',17
Summarize the rulers of the territory of Albania in this time period.,16,Summarize Albania's rulers in this period,11
What is cloud computing in simple terms?,8,Explain cloud computing in simple terms,6
What is one year?,5,What is one year,4
What types of sport fish do most anglers target in New England?,15,What sport fish do most New England anglers target,11
Give me a bunch of ways I can keep my house cool in the summer,16,List many ways to keep my house cool in summer,10
What is wine?,4,Wine,1
"Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",44,"Candy bars or gum: Trident, Twix, Hubba Bubba, Snickers, Three Musketeers, Wrigleys",33
What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,22,Relation between Kushan Empire and Sassanid Empire in Iran,15
Give me a list of things that pose a challenge to cryptos,15,List challenges to cryptos,5
What is the meaning of life?,7,Meaning of life,3
"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",50,"Classify following characters by publisher (Marvel or DC): Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",40
Why are we like aquariums?,7,Why are we like aquariums,6
Give me a bulleted list of countries that start with the letter B.,17,Bulleted list of countries starting with B,9
"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",42,Explain how LLMs/ChatGPT could revolutionize APIs in future; provide example of how these APIs might work,27
Who are some of the most successful golfers in history?,12,Most successful golfers in history,6
"Which is a bird or fish: Red-throated diver, Redlip blenny",21,Red-throated diver: bird; Redlip blenny: fish,17
Which types of fish contain the lowest levels of mercury?,11,Which fish have lowest mercury levels,6
How do you make an iced matcha latter?,12,How to make iced matcha latte,11
What is world of warcraft,6,What is WoW,4
What is the best swimming form?,7,Best swimming form,3
Which is the best place to Kayak in Austin?,11,Best kayak spots in Austin,5
Who is the best men's test cricket player to have come from New Zealand?,17,Best NZ male Test cricketer,7
"What is the winter weather like in Salt Lake City, Utah?",13,"Winter weather in Salt Lake City, Utah",8
Whats the difference between a bass guitar and a regular guitar?,15,Difference between bass guitar and regular guitar,7
What is a Gross domestic product (GDP)?,12,What is GDP (Gross Domestic Product),10
What is the last festival celebrated in Tihar and how long does the festival last?,17,Last Tihar festival and its duration,7
What event John Johnstone won as a rider?,12,John Johnstone event won as rider,8
What are the careers of your dream?,8,Your dream careers,3
Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,76,"Yarns currency: super-yarn=10, mini-yarn=0.5; total for 2 super-yarns and 3 mini-yarns",39
What is a Mormon?,6,Define Mormon,3
What is the difference between a red delicious and a Granny Smith apple?,17,Difference between Red Delicious and Granny Smith apples,9
List the Pokemon Go regions.,6,List Pokemon Go regions,4
Who do you think is the most powerful Mandalorian in Star Wars history?,17,Who is most powerful Mandalorian in Star Wars history,12
Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,25,"From passage, summarise how sunsets are viewed in northern hemisphere across seasons",21
What cities should someone visit during a trip to Morocco?,12,Which Moroccan cities to visit,5
Which classical composer was deaf?,8,Deaf classical composer,5
Who discovered the double-helix DNA structure?,10,Who discovered DNA double helix,7
Please provide a brief summary describing Canada,9,Brief summary of Canada,4
Why age 27 is given so much importance specially in Music industry?,13,Why is age 27 significant in music industry,8
What is Bollywood,3,What is Bollywood,3
What are Nanotube?,5,Explain nanotubes,4
Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,20,Write first paragraph of blog post about Boston's appeal as tourist destination,14
What is a secured loan?,7,Secured loan definition,4
Should I have Kids?,5,Should I have Kids,4
Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,35,"3 gentle-movement, low-strain hobbies for retiree",14
"Name some reasons it's great to live in Marin County, California.",15,"Reasons to live in Marin County, CA",9
Who was the first American to win a Nobel Peace?,12,First American to win Nobel Peace,6
What is the FA Cup?,6,FA Cup,2
Are Schindler elevators safe,7,Are Schindler elevators safe,7
What are the 4 oceans on earth,8,List four oceans on Earth,6
Did Harry Potter put his own name in the goblet of fire?,15,Did Harry Potter put his own name in goblet of fire,13
Why does it help to focus on the breath when practicing mindfulness?,13,Why does focusing on breath help mindfulness,8
What's the best way to learn how to snowboard?,12,Best way to learn to snowboard,6
What was Angie Thomas's first published novel?,11,Angie Thomas's first published novel,8
"Based on this paragraph, how many younger siblings did Kennedy have?",13,How many younger siblings did Kennedy have based on this paragraph,12
What are some of the common elements of visual design?,11,Common elements of visual design,5
What is the difference between a shrub and a tree?,13,Difference between shrub and tree,5
"As an expert skier, what are the top resorts in the US to go skiing?",19,"As expert skier, which US ski resorts are best",12
"Which characters belong to DC or Marvel Universe? Hulk, Spectre",16,"DC or Marvel? Hulk, Spectre",11
"Extract why Tim Lincecum was called ""The Freak""",13,Why was Tim Lincecum nicknamed Freak,10
Which players won the men's singles grand slam tennis tournaments in 2022.,21,2022 men's singles grand slam winners,13
Can you tell me something about Stanley J. Goldberg,11,Tell me about Stanley J. Goldberg,8
Please summarize the causes and cure for color blindness given in the passage?,15,Summarize color blindness causes and cure from passage,11
How can I improve my finances?,7,Ways to improve my finances,6
What is Zenthoefer Furs,9,What is Zenthoefer Furs,9
What are the three branches of the US Federal Government?,11,Three branches of US Federal Government,6
"When rock climbing, what is the difference between lead climbing and top rope climbing?",16,Difference between lead climbing and top-rope climbing,10
Which is a species of fish? Mola mola or Molar,16,Which fish species: Mola mola or Molar,12
"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",69,"Imagine world with fixed life expectancy at birth; people can donate 3 years of life to extend another’s life at donor’s expense. Describe likely scenario of manipulated, coerced donation",42
What makes a good sales account executive?,9,What makes good sales account executive,6
"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",31,"Which are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard",27
Think up some openings for beginners to the game of Chess,14,Provide beginner chess openings,7
Give me a list of popular current artists in the EDM category.,15,List popular current EDM artists,6
"Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",26,"Which sports are easiest for short players to succeed in: baseball, soccer, basketball, bowling",19
What is the appeal of Flathead Lake as a Summer vacation destination?,15,Flathead Lake appeal as summer vacation destination,8
What's the difference between tennis and pickleball?,12,Tennis vs pickleball difference,8
What is Linux?,4,Linux,1
"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",34,"From Jen Shah reference text, provide: fame source; charge date; verdict; sentencing date",20
What are the classifications of Academic Degrees?,10,Academic degree classifications,4
What types of problems in government could AI be used to solve,12,What government problems could AI solve,6
Why isn't multi-threading making my Python code faster? How can I fix it.,21,Why doesn't Python threading speed up my code? How can I fix it,17
Who is the best NBA player of all time?,10,Greatest NBA player of all time,7
"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",44,"Vodka or gin for each: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",37
How can I get better performance when querying a delta table?,14,Improve Delta table query performance,5
Which coin of U.S currency has the most ridges.,14,Which U.S. coin has most ridges,11
Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,20,First woman with four country albums at No.1 on Billboard 200,14
"From the passage provided, extract the state Lincoln was born in",12,"From provided passage, extract Lincoln's birth state",10
What is FIFA?,4,FIFA,1
why is Mahatma Gandhi loved by everyone?,11,why is Mahatma Gandhi loved by everyone,10
What is Game of Thrones based on?,9,What is GoT based on,7
What are the benefits of collaborating on a tech blog with your customers?,16,Benefits of collaborating on tech blog with your customers,11
"Given this paragraph, how many public high schools are in Arlington, Virginia?",15,"Given this paragraph, how many public high schools are in Arlington, Virginia",14
What are all of the professional baseball teams in the state of Florida?,14,List all professional baseball teams in Florida,7
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",22,"From Cy Young Award reference text, describe what it is and why it is awarded",16
Extract what is Top Gun,5,Top Gun definition,3
Where to find the best croissant in San Francisco?,10,Best croissant in SF — where to find,10
Do cats have nine lives?,6,Cats have nine lives,5
What is Microsoft?,4,Microsoft,1
How do you make soap?,6,How to make soap,4
How would I get from an upstairs apartment to the parking garage?,13,Directions from upstairs apartment to parking garage,8
What are three most commonly sung lyric soprano arias?,19,What are three most commonly sung lyric soprano arias,18
Cases of Anthrax were found in Kerala in which animals?,14,Anthrax cases in Kerala: which animals,9
"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",81,"Sort these Taylor Swift songs by album: Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's Version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",70
"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",70,"Kids' class: powered/plug-in vs non-powered items. Divide these into plug-in and non-plug-in: table, hairdryer, television, chair, computer, fridge, comb, flowers",50
Can you describe what team effectiveness is?,8,Describe team effectiveness,4
"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",23,"From passage below, list Walmart's acquisitions (companies and technologies) in last 3 years",21
"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",38,"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",38
Why do people like gardening?,6,Why do people like gardening,5
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,33,Week-long India trip focused on Himachal Pradesh (Himalayas). How should I plan it,22
"From the passage provided, extract the second studio album that Taylor Swift released.",15,"From passage, name Taylor Swift's second studio album",11
Is there a World Taekwondo Grand Prix,13,World Taekwondo Grand Prix exists,9
"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",42,"From provided text, order these books chronologically: Fox in Attic; In Hazard: Sea Story; High Wind in Jamaica; Wooden Shepherdess",32
What is the best way to invest my money?,10,Best way to invest my money,6
Do George Lucas and Steven Spielberg know each other?,11,Do Lucas and Spielberg know each other,8
Give me a list of the best bravo tv shows,14,List best Bravo TV shows,5
What are the official languages of the United Nations?,10,UN official languages,3
