original,original_token_count,compressed,compressed_token_count
What are some of the differences between English and Mandarin Chinese languages?,13,Differences between English and Mandarin Chinese,7
Give me the top 7 songs on billboard right now,11,Top 7 Billboard songs right now,7
"Which is a bird or fish: Yellowedge grouper, Yellow-browed warbler",21,"Bird or fish: Yellowedge grouper, Yellow-browed warbler",17
Who was Thomas Ransom,5,Who was Thomas Ransom,5
How old is Boo Boo Bear?,9,How old is Boo Boo Bear,8
Have you heard of Yandovy or Яндовы?,15,Heard of Yandovy or Яндовы,13
How many keys does a full piano have?,10,How many keys on full piano,6
What is a useful set of criteria to use when determining who has a lot of leadership potential in my team?,25,What criteria identify leadership potential in my team,8
What is the launch date of Artemis mission?,10,Artemis mission launch date,5
What is Xenohormone normally used for?,12,Xenohormone: typical uses?,10
"Classify the following shapes as either two dimensional or three dimensional: cube, circle, sphere, triangle, cone, rhombus, square, and pyramid.",37,"2D or 3D: cube, circle, sphere, triangle, cone, rhombus, square, pyramid",26
How long does it take to get to mars?,10,Time to Mars?,4
Name the past 5 FIFA World Cup Champions,8,Name past 5 FIFA World Cup Champions,7
Where did Rosogolla or Rasgulla originate?,12,Origin of Rosogolla/Rasgulla?,13
Given this paragraph about hockey what are different surfaces that hockey is played on?,15,"From this hockey paragraph, list surfaces hockey is played on",11
"Given a reference text about Farhad Moshiri, what do his painted jars look like?",22,Describe Farhad Moshiri's painted jars from reference text,16
Describe what it feels like as the last person standing on Earth.,14,Describe feelings of being last person on Earth,9
What album by Trans-X was released in 1983 and how many songs were on it?,18,Trans-X 1983 album and track count,8
What are transistors made from?,7,Transistors made of what,6
"Identify which animal species is alive or extinct: Leedsichthys, Monarch Butterfly",20,"Alive or extinct: Leedsichthys, Monarch Butterfly",15
How long does it take to make Kombucha?,11,Kombucha fermentation time?,6
"If a candidate running to be the President of the United States is indicted during his campaign, can he continue running for election?",29,"If U.S. presidential candidate is indicted during his campaign, can he continue running for election",22
Which version of the church existed in 1809?,10,Which church denomination existed in 1809,7
Are these companies private or public,6,Are these companies private or public,6
What is a 'Public' School in the UK?,13,UK 'Public' School definition,7
What are the most common languages in the world?,10,Most spoken languages worldwide,4
Who designed the South African Class 15E 4-8-2 locomotive?,13,Who designed SA Class 15E 4-8-2 locomotive,10
"Classify each of the objects are ""round"" or ""rectangular"": television, baseball, brick, tire, book, manhole, donut, bench",34,"Classify each object as 'round' or 'rectangular': television, baseball, brick, tire, book, manhole, donut, bench",34
What are the most common types of pizzas?,10,Most common pizza types,4
From the passage identify the domains in which Hermes is considered a God. Display the results in a comma separated format.,30,"From passage, list Hermes' domains as god, comma-separated",21
What is GIS?,5,GIS?,3
What are some ways to inculcate practice based learning in kids?,15,Ways to inculcate practice-based learning in kids,12
What was the last year the Ford Pinto was manufactured,11,Last year Ford Pinto manufactured,6
"Samuel Tilden, Grover Cleveland, Al Gore, and Hillary Clinton share what distinction among U.S. presidential candidates?",27,"Samuel Tilden, Grover Cleveland, Al Gore, and Hillary Clinton share what distinction among U.S. presidential candidates",26
How to escape from a helicopter trapped in water ?,12,Escape from helicopter trapped in water,6
How can I tell the neighbors kids to quiet down without being perceived as a grouchy old man?,23,How to tell neighbors' kids to quiet down without seeming like grouchy old man,19
What is the tallest building in the city of San Francisco?,13,Tallest building in San Francisco,6
Tell me about Clarence Adams,6,Clarence Adams info,4
Why do humans like dogs?,6,Why humans like dogs,4
Why am I so sad all the time?,9,Why am I always sad,5
In what month did Jens Stub die?,10,Jens Stub death month,6
Seven Wonders of the Underwater World,8,Seven Underwater Wonders,5
"From the paragraph provided, extract the year of the release of the album Origin of Symmetry.",20,"From provided paragraph, extract Origin of Symmetry's release year",14
How many basketball teams are in NBA?,8,How many NBA teams,4
Who directed the first two episodes of season three of Game of Thrones?,14,Who directed first two episodes of season three of Game of Thrones,12
Why was the  Battle of Stalingrad so important?,10,Why was Battle of Stalingrad important,7
"Classify the following shapes by which have 4 sides or which have more than 4 sides: Hexagon, square, rectangle, octagon, decagon, rhombus, parallelogram, pentagon, dodecahedron, heptagon",60,"Classify shapes by 4-sided vs >4-sided: hexagon, square, rectangle, octagon, decagon, rhombus, parallelogram, pentagon, dodecahedron, heptagon",53
What is the largest coral reef system in the world?,11,Largest coral reef system,6
"Which of these are woodworking handtools: plane, spokeshave, drill, table saw, chisel, bandsaw",29,"Which are woodworking hand tools: plane, spokeshave, drill, table saw, chisel, bandsaw",26
Who is LaVelle Smith Jr.?,9,Who is LaVelle Smith Jr,7
Create a comma separated list of all countries mentioned in this paragraph on the history of test cricket,22,Comma-separated list of all countries mentioned in this paragraph on Test cricket history,20
"In the series A Song of Ice and Fire, who is the founder of House Redbeard?",20,Who founded House Redbeard in ASOIAF,11
Where should I travel for a summer vacation in the United States?,14,Best US summer vacation destinations,5
Extract the causes of income inequality in the United States mentioned in the text. Separate them with a comma.,26,"Extract US income-inequality causes mentioned in text, separated by commas",16
"Which is a bird or fish: Yellow wagtail, Yellowback fusilier",18,"Bird or fish: Yellow wagtail, Yellowback fusilier",14
What is a narcissist?,11,What is narcissist,8
"Given this paragraph, what is Peru's most popular tourist attraction and how many people visit it every year?",22,"From this paragraph, Peru's top attraction and its annual visitors",13
Who is Doom Guy?,6,Who is Doom Guy,5
How large is South Africa's economy?,9,South Africa GDP size,4
"Which of the following countries are in Asia: India, South Korea, Japan, United States of America, Morocco, New Zealand, Indonesia, Singapore, Mexico?",32,"Which of these are in Asia: India, South Korea, Japan, USA, Morocco, New Zealand, Indonesia, Singapore, Mexico",26
Name five different cuts of beef that I could ask for from a butcher,16,Five different beef cuts to ask butcher for,9
Extract the Greek cities mentioned in the below text and list them from smallest to largest,17,Extract Greek cities from text below and list them in ascending order,13
Write a recruiter message to someone in tech on LinkedIn,12,Write LinkedIn recruiter message to tech professional,8
List five titles by Gertrude Chandler Warner,9,List five titles by Gertrude Chandler Warner,9
"Given these paragraphs about Large language models, what corpus was the first model in OpenAI's GPT series trained in 2018 on?",29,"From these paragraphs about LLMs, what corpus was OpenAI GPT-1 trained on in 2018",22
"Tell me which Taylor Swift album these songs are from: Love Story, Bad Blood, Begin Again, Cornelia Street.",25,"Which Taylor Swift albums are these songs from: Love Story, Bad Blood, Begin Again, Cornelia Street",22
"Based on this passage, give a bulleted overview of the components of the lean startup methodology.",22,"From this passage, provide bulleted overview of lean startup methodology components",15
Who is Richard Wayne Bogosian?,8,Who is Richard Wayne Bogosian,7
What is the main difference between ORC and Parquet?,13,Difference between ORC and Parquet,8
"Based on the paragraph below, how much did Beyonce earn in 2013 - 2014",18,"From paragraph below, how much did Beyonce earn in 2013–2014",15
How do I choose a new phone?,9,How to choose new phone,5
"which of these words do not belong in the same category? peel, organic, fruit, yellow, mushy, crunchy.",27,"Which words don't belong in same category: peel, organic, fruit, yellow, mushy, crunchy",24
Extract the factors that influence the cost of building a house,12,List factors influencing house construction costs,7
"Given this paragraph about Vice-Admiral Alexander Colville, tell me when he died and what battles he fought in.",30,"From paragraph about Vice-Admiral Alexander Colville, list his death date and battles",20
What's a romatic poem about the universe and time?,15,Write romantic poem about universe and time,7
"Who does Machiavelli believe exemplifies the characteristics of a true prince in The Prince, and why does he hold this belief?",33,"Which figure exemplifies true prince in Prince, and why does Machiavelli believe so",22
Have any Defensive players won the Heisman Trophy?,13,Have any defensive players won Heisman,8
What are interesting plot twists for a novel?,11,Interesting plot twists for novel,6
List the actors and actresses who were included in the cast of the movie Avengers: Endgame.,21,List Avengers: Endgame cast,6
Was there an industrial revolution during the middle ages?,11,Industrial Revolution in Middle Ages,6
Where was city musician Thomas Russell born?,8,Where was city musician Thomas Russell born,7
Which rock star is known to consume heavy amounts of drugs and it surprising he has live this long?,21,Which rock star known for heavy drug use is surprised he has lived this long,16
"Which of the following are companies that sell sports apparel? Nike, adidas, Energizer, Logitech, Dell, Saucony",28,"Nike, adidas, Saucony",7
What are the Australian men's and women's soccer teams called?,15,Names of Australia’s men's and women's soccer teams,15
Give me bulleted list of the five most common shots in lawn tennis,15,Bulleted list: five most common lawn tennis shots,11
what are coolest things to do in Amsterdam,9,what are coolest things to do in Amsterdam,9
"Identify which car manufacturer is German or American: Dodge, Volkswagen",13,"Dodge, Volkswagen: German or American",7
What is Terraform?,5,Terraform?,3
"Tell me whether these clothes are formal or informal: suit, tuxedo, bathing suit, gym shorts, slacks, tank top",35,"Formal or informal: suit, tuxedo, bathing suit, gym shorts, slacks, tank top",30
What are some good costumes I can wear for Halloween? Give me at least five in a bullet list,21,Halloween costumes; at least five; bullet list,9
What are artificial neural networks?,6,What are ANNs?,6
What is the difference between a GPU and a CPU?,13,Difference between GPU and CPU,5
Describe ZMOT (Zero moment of truth) and how it differs from the 3-step model of marketing that was prevalent at the time of its introduction.,35,Describe ZMOT (Zero Moment of Truth) and contrast it with 3-step marketing model prevalent when ZMOT was introduced,28
What is IPL T20?,7,What is IPL T20,6
Which Targaryen has the dragon Rhaegal named after him?,16,Rhaegal named after which Targaryen,11
Hip Hop song Make Me Proud,8,Hip Hop song Make Me Proud,8
What is one of Poseidon's many powers?,12,Name one of Poseidon's powers,9
What are some cardio machines at the gym?,9,Gym cardio machines?,5
What did Stryk study at the Technical University of Munich?,13,What did Stryk study at TUM,9
What are some foods to cook to celebrate St. Patrick's Day?,15,St. Patrick's Day foods to cook,9
What is K8s?,6,What is K8s?,6
How many colors are there in a rainbow.,10,How many colors in rainbow,5
Who has won the most grand slams in men's singles tennis in open era?,23,"Who has most Grand Slam titles in men's singles, Open Era",16
"Classify the below companies based on their country of origin -
LG Corporation, Samsung, Apple Inc., Tesla, Inc.",27,"Classify country of origin: LG Corporation, Samsung, Apple Inc., Tesla, Inc",18
How do you thicken bolognese sauce?,12,Thicken bolognese sauce?,9
What is an adjacency list?,9,Adjacency list?,6
List the club sports teams that Neumann University has,10,List Neumann University club sports teams,7
"Based on the following paragraph on squat lobster fisheries, where do such fisheries exist today?",24,"From squat lobster fisheries paragraph, where do such fisheries exist today",19
What is Bart Simpson's best friend named?,11,Bart Simpson's best friend's name,10
What is MLflow?,6,What is MLflow?,6
What is the difference between a rose and a sunflower?,13,Difference between rose and sunflower,5
What are the available treatments for Sensory processing disorder?,11,Treatments for sensory processing disorder,6
Give me a bulleted list of all of the Star Wars movies in order by release date.,21,Bulleted list of all Star Wars movies in release-date order,14
Why is Football a popular spectator sport?,9,Why is Football popular spectator sport,6
What type of brushes are typically used to create an acrylic painting?,13,Brush types for acrylics,5
What is Brownism?,6,What is Brownism?,6
What is SWIFT in banking?,8,SWIFT in banking?,6
Give me some ideas for Halloween costumes.,8,Halloween costume ideas,3
Battles between England and Scotland,6,England-Scotland battles,8
Why is the band Phish so popular?,9,Why is Phish so popular,6
Who created pilates?,6,Who created Pilates?,4
"Given this paragraph about the city of Madrid, what are the main landmarks of the city?",19,"From this Madrid paragraph, list main landmarks",9
What kind of salt should I use while cooking?,10,What salt to use in cooking,6
"Extract the factors that affect the shape of a yield curve, and list them using bullets.",20,Extract factors affecting yield-curve shape; present as bullets,14
"How many episodes in season one of ""Game of Thrones"" did Brian Kirk direct?",17,How many S1 episodes did Brian Kirk direct in Game of Thrones,13
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",24,"String or percussion: Den-den daiko, Luc huyen cam",19
Name the seven Alpine countries from West to East.,10,List seven Alpine countries west to east,7
What is the largest country in South America by land mass?,12,South America's largest country by land area,9
Suggest 5 horror films to me,8,Suggest 5 horror films,6
"Which is an imperial or a metric measurement: inch, millimetres",18,"Imperial or metric: inch, millimetres",11
What are the different names of Passover and what are the meanings?,15,Passover: alternate names and meanings,8
What is the legal drinking age in the USA?,10,USA legal drinking age,4
"Which of the following items would I need on a surf trip? Surfboard, leash, tent, knife, wetsuit, batteries, granola bars, bag of grapes, lead weights, a dump truck, the complete collection of Beach Boys albums on vinyl.",60,"Which of these items would I need on surf trip: surfboard, leash, tent, knife, wetsuit, batteries, granola bars, bag of grapes, lead weights, dump truck, complete Beach Boys vinyl collection",50
What is Dragon Ball Z?,6,Dragon Ball Z?,4
How to make a Pizza dough?,8,How to make pizza dough,5
What is the paleolithic?,8,Paleolithic definition?,7
Name some plays that were written by Shakespeare,8,Name some Shakespeare plays,4
What are the defining characteristics of a Ramly Burger?,13,Ramly Burger defining characteristics,6
Give me a bulleted list of the major religious groups,13,Bulleted list of major religions,8
Which French philosopher created analytical geometry,6,Which French philosopher created analytical geometry,6
What is Caracas?,6,Explain Caracas.,5
Based on the following passage make a list of 6 conventional dried fruits.,15,"From following passage, list 6 conventional dried fruits",9
What is Prometheus?,7,What is Prometheus?,7
Does Irina Korzhanenko still have her gold medal?,15,Does Irina Korzhanenko still have her gold medal,14
Summarise the ways an employer can find workers using the given text as a reference,19,Summarise ways employer can find workers using provided text as reference,14
"Classify list as breeds of either a 'dog' or a 'cat': Border Collie, Siamese, Maine Coon, German Shepard, Persian, and Corgi?",47,"Classify as dog or cat: Border Collie, Siamese, Maine Coon, German Shepard, Persian, Corgi",30
What movies made Seattle famous in the 1990s?,10,Which 1990s movies made Seattle famous,7
"Classify these as faster or slower than driving a car: running, flying a plane, riding a bike, walking, driving a boat.",32,"Classify faster/slower than driving car: running, flying plane, riding bike, walking, driving boat",23
Give me a list of the top 5 things I should do to prepare for a holiday abroad,20,Top 5 prep steps for holiday abroad,7
How does meditation help mental health,6,How meditation affects mental health,6
"Which items are not allowed when passing through TSA security? baby carrier, empty water bottle, dog, box cutters, baseball bat, bike, axe, cooking spray",35,"TSA not-allowed items through security: baby carrier, empty water bottle, dog, box cutters, baseball bat, bike, axe, cooking spray",33
"Select the odd word from this list and explain why you chose it.
Cow
Horse
Tiger
Chicken
Pig",19,"Odd one out: Cow, Horse, Tiger, Chicken, Pig; justify",16
What should I look for when looking for a used car?,13,Used-car buying: what to look for,9
"What are five totally distinct, creative ways to describe the usefulness of extra fingers?",17,"Five distinct, creative descriptions of usefulness of extra fingers",11
What is the largest animal in the world,8,Largest animal in world,6
Why many people do not like pigeons?,12,Why many people dislike pigeons,9
From the passage note down the years when global recession happened. List the results in comma separated format.,23,"From passage, list years of global recessions in comma-separated format",20
Why is nitrogen gas used during the packaging of potato chips?,12,Why is nitrogen gas used in potato chip packaging,9
Why was it unclear who won the race?,9,Why unclear who won race,5
What are the most famous sights of Sicily?,10,Most famous sights in Sicily,6
Write a letter to your friend expressing your feelings about earning your first wage.,17,Write letter to your friend expressing your feelings about earning your first wage,14
"What are some good kids activities on Lake Norman, NC?",12,"Kid-friendly activities on Lake Norman, NC",9
"Identify which instrument is string or percussion: Sheker, Taishogoto",17,"String or percussion: Sheker, Taishogoto",12
"Among those animals, what are mammals? platypus, Greenland shark, puffer fish, rattlesnake, orca, kangaroo, ostrich",40,"Which of these are mammals: platypus, Greenland shark, puffer fish, rattlesnake, orca, kangaroo, ostrich",37
"Given this paragraph about Aronia, what is another name for the plant and where were they first cultivated?",22,"From this Aronia paragraph, give plant's alternative name and where it was first cultivated",19
What is a good present for my wife?,10,Good gift for my wife,5
"Classify the following animals as mammal or not: whale, kangaroo, mouse, snake, fish, human, koala",33,"Mammal or not: whale, kangaroo, mouse, snake, fish, human, koala",27
"Given this plot summary from The Night Buffalo, what caused Manuel to discover these occurrences caused by his late friend?",24,"From Night Buffalo plot summary, what caused Manuel to discover occurrences linked to his late friend",19
What is the difference between earphones and headphones?,12,Difference between earphones and headphones,8
"Based on the reference text, provide a one sentence overview of Dogecoin",17,"Based on reference text, provide one sentence overview of Dogecoin",14
What are the most common types of streets in the United States?,13,Most common street types in United States,7
Suggest some ranged weapons for role playing games.,12,Ranged weapons for RPGs,7
"Based on the passage provided, what is the difference between Amdahl's law and the law of diminishing returns?",27,"Based on passage, difference between Amdahl's law and law of diminishing returns",20
What's the largest bird in the world?,10,Largest bird in world,6
How long is a professional football field.,9,Pro football field length,4
Which is a species of fish? Pike or Parrot,13,Which is species of fish? Pike or Parrot,11
What country has the most all time medals at the Winter Olympics?,14,Which country has most all-time Winter Olympic medals,11
Why is India Pale Ale (IPA) the best type of beer?,15,Why is IPA best beer,6
Write a paragraph on the difficulties of seizure detection among epilepsy patients.,18,Write paragraph on difficulties of seizure detection in epilepsy patients,14
I'm about to leave San Francisco and I love my rickety old apartment. Write it a tribute and make it poetic!,30,Poetic tribute about leaving San Francisco and loving my rickety old apartment,17
what are some things you can do with a glass jar?,14,Uses for glass jar,6
Give me a list of 3 of the best movies quotes I've never used,17,List 3 best movie quotes I haven't used,11
"If we dug straight through to where we stood on Earth, would we reach the other side?",20,If we drilled straight through Earth from our location would we reach opposite side,15
who is Matt Giraud,6,who is Matt Giraud,6
What is the best modern motorcycle for a beginning rider?,13,Best modern motorcycle for beginner rider,7
What is caffeine?,4,Caffeine?,4
What are some tools to help combat ADD and ADHD?,12,Tools to combat ADD/ADHD,8
Give me a list of actresses who won an Oscar in the last 5 years and tell me for which movie they won it.,28,List Oscar-winning actresses in last 5 years and their winning films,15
Give me the TLDR on using llamas to guard my livestock.,17,TLDR: llamas for guarding livestock,12
What are the Grand Slams of tennis?,9,Tennis Grand Slams?,5
"Given this paragraph about Saffron, where does this name originally come from?",17,Origin of name Saffron,7
What are some of the most important attributes of spacecraft battery and how are these attributes realized?,19,Some of most important attributes of spacecraft batteries and how these attributes are realized,15
Write a tweet from the perspective of a dog that’s angry about the squirrels in its yard,22,"Tweet as dog, angry about squirrels in its yard",11
What are mammals?,4,What are mammals?,4
What is The Sixth Extinction (The X-Files)?,18,Explain Sixth Extinction (The X-Files),15
"From the passage provided, extract where Java was developed",10,"From passage provided, extract where Java was developed",9
"Identify which instrument is string or percussion: Flexatone, Ek Tare",18,"Flexatone, Ek Tare: string or percussion",13
"Classify these MLB teams as either National League or American League teams: New York Mets, St. Louis Cardinals, Los Angeles Dodgers, Arizona Diamondbacks, Tampa Bay Rays, New York Yankees, Houston Astros, Oakland A's",54,"NL or AL: Mets, Cardinals, Dodgers, Diamondbacks, Rays, Yankees, Astros, A's",31
How long should a child's carseat remain rear facing?,14,How long should child's carseat remain rear facing,11
Explain Business Intelligence,5,Explain Business Intelligence,5
What is the largest estuary in the United States?,12,Largest US estuary?,8
"Classify each of the following as a new world or old world crop: Potato, Corn, Tomato, Wheat, Oat, Cacao, Apple, Olive",35,"Classify each of following as new world or old world crop: Potato, Corn, Tomato, Wheat, Oat, Cacao, Apple, Olive",32
What is a compound statement?,7,Define compound statement.,5
"Given this reference text about Neonatology, tell me which specialty it is related to, and where it is typically practiced.",27,Neonatology reference: identify related specialty and typical practice setting,13
"Identify which instrument is string or percussion: Pambai, Steel Guitar",15,"String or percussion: Pambai, Steel Guitar",10
What is XGBoost Algorithm?,11,What is XGBoost?,7
"For each of these countries, tell whether it lies in the Western Hemisphere, Eastern Hemisphere, or both:  Thailand, United Kingdom, Belize, Japan, Algeria",37,"For each country, state whether it is in Western Hemisphere, Eastern Hemisphere, or both: Thailand, United Kingdom, Belize, Japan, Algeria",34
What re the differences between recruiters and sourcers at a company?,17,Differences between recruiters and sourcers at company,11
"Given this paragraph about grunge guitarists, what types of amplifiers would typically be preferred?",20,Grunge guitarists paragraph: which amplifier types are typically preferred,13
My daughter's friend is lactose intolerant. What foods should we avoid when we take out to eat with us?,28,Daughter's friend lactose intolerant. Foods to avoid when dining out with us,20
Imagine you are the CEO of Tiktok and have to give an argument in front of the Senate on why the US should not ban Tiktok.,33,Act as TikTok CEO; argue to Senate against U.S. ban on TikTok,22
Is Ireland a good surf spot?,9,Ireland good surf spot,4
Is the following statement true or false: cat's have wings?,15,True/false: cat's have wings,11
What is passive solar building design,6,Define passive solar building design,6
"Given this paragraph about Mass–energy equivalence, tell me what each part of the equation E=mc² stands for.",29,"Given this paragraph about Mass–energy equivalence, tell me what each part of equation E=mc² stands for",27
What is an atmospheric river?,6,Define atmospheric river.,5
"Which is a bird or fish: Blackcap, Black swallower",14,"Bird or fish: Blackcap, Black swallower",10
Why kids ask more questions?,6,Why kids ask more questions,5
Why is an umbrella useful?,6,Why is umbrella useful,4
"India with the world's highest TB burden, introduced the BCG mass immunisation in which year?",24,"India, world's highest TB burden, when was mass BCG immunisation introduced",20
What can a work group do to promote psychological safety?,12,How can team promote psychological safety,6
Name five countries in the Northern Hemisphere,10,Name five Northern Hemisphere countries,8
How do you train for a marathon?,9,How to train for marathon,5
"I have eggs, flour, sugar and baking soda- what can I make?",16,"Eggs, flour, sugar, baking soda—what can I make",14
What is palmitoylation,7,What is palmitoylation,7
Think of a bunch of different ways you could lift weights at home without any dumbbells or gym equipment.,24,List many ways to lift weights at home without dumbbells or gym equipment,16
What is the best kind of lightbulb?,10,Best lightbulb?,5
What is a good way to start a garden bed in my backyard?,16,How to start backyard garden bed,6
Does Almond Joy or Mounds have nuts?,11,Does Almond Joy or Mounds have nuts,10
What are the best exercises for lower back pain?,10,Best lower back pain exercises,5
"Classify each of the following as either birds or mammals: Eagle, Bear, Deer, Finch, Owl, Cat, Dog, Rat, Human, Whale, Raven",35,"Classify each item as birds or mammals: Eagle, Bear, Deer, Finch, Owl, Cat, Dog, Rat, Human, Whale, Raven",32
Who built Sigiriya fortress in Sri Lanka?,11,Who built Sigiriya fortress in Sri Lanka,10
"Given these paragraphs about battery storage power stations, for how long battery power storage was cheaper than open cycle gas turbine power as of 2019?",28,"From these paragraphs on battery storage stations, how long was battery storage cheaper than open-cycle gas turbines as of 2019",25
Where is the Rudka County,6,Where is Rudka County,5
Please give me a bulleted list of the different types of horses cited in the text as well as their maximum height in centimeters (separated by a comma),44,"Bulleted list: each horse type cited in text with its max height (cm), format: type, height",25
"First, it's important to know what your goal is with a bicycle. If you go out with the family, you can choose a regular bicycle, but if you go to use for competition, it is better to choose a more sophisticated carbon fiber bicycle, for gain more performance in races.",63,Goal determines bike: family → regular; competition → carbon fiber bike for better race performance,20
What is Delta Live Tables?,7,What is Delta Live Tables,6
"Given a reference text about Tom Cruise, tell me when they were born and what they are famous for.",22,"From Tom Cruise reference text, state his birth date and what he's famous for",18
"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",58,"Identify sport (basketball, football, soccer) for each item: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, goalie gloves",46
"What is ""Disko""?",8,What is Disko?,5
"For the Zodiac sign Gemini, Share some important details from given text.",17,Gemini: share key details from provided text,9
What is a Gross domestic product (GDP)?,12,What is GDP (Gross Domestic Product),10
"Which of the following were recurring characters on The Sopranos: Carmela, Tony, Christopher, Jody, Natasha, Silvio, Adriana, Tom & Jerry, Jerry Seinfeld, George Costanza",49,"Which of following were recurring characters on Sopranos: Carmela, Tony, Christopher, Jody, Natasha, Silvio, Adriana, Tom & Jerry, Jerry Seinfeld, George Costanza",47
"Given the following paragraph on gene regulation, what are operons and where do they occur?",19,"From gene regulation paragraph, define operons and where they occur",13
"in hsa-1099-sa form, what does ""Gross distribution"" mean?",22,HSA-1099-SA: meaning of 'Gross distribution',16
"Which is bigger, a beagle or a basset?",15,"Which is bigger, beagle or basset",10
Who are the main cast of It's Always Sunny in Philadelphia?,14,It's Always Sunny in Philadelphia main cast,9
"Tell me which of the following cartoon characters are in Bluey: Chilli, Tom, Jerry, Bandit, Bluey, Peppa, Mickey, Scooby, Bingo, Chester.",41,"Which of these characters are in Bluey: Chilli, Tom, Jerry, Bandit, Bluey, Peppa, Mickey, Scooby, Bingo, Chester",36
What is a group of bunnies called?,10,Group of bunnies called,5
Who wrote the song Happy Birthday Darlin,9,Who wrote song Happy Birthday Darlin,8
