original,original_token_count,compressed,compressed_token_count
Why do people watch the English Premier League more than any other soccer league in the world?,18,Why do people watch English Premier League more than any other soccer league worldwide,14
"Based on the following paragraph on water, what makes water cohesive.",13,"From water paragraph, what makes water cohesive",8
From this paragraph please summarize the notable California regions where pinot noir is produced.,16,Summarize notable California Pinot Noir regions from this paragraph,11
Extract the Greek cities mentioned in the below text and list them from smallest to largest,17,Extract Greek cities from text below and list them in ascending order,13
What is a string quartet?,7,Define string quartet.,5
What are some popular tequila drinks that I should try?,15,Popular tequila drinks to try,9
"What is the length of the song ""The New Deal""?",13,"Length of song ""The New Deal""",10
Is Scala the best programming language?,9,Is Scala best programming language,7
"Of NFL teams who have gone to the Super Bowl, how many have a win percentage of Super Bowls of at least 50%?",27,How many NFL teams with Super Bowl appearances have Super Bowl win percentage ≥50%,18
"What does troll the respawn, Jeremy mean?",14,"What does troll respawn, Jeremy mean",12
Can you recommend best taco places in Austin?,10,Recommend best taco spots in Austin,10
"From this list of American sports teams categorise them as American Football, Basketball, Baseball or Hockey. Cincinnati Bengals, Boston Celtics, Washington Capitals, Washington Capitals, Los Angeles Dodgers, Atlanta Braves, Phoenix Suns, New York Rangers, Chicago Bears",61,"Categorize this list of American sports teams into American Football, Basketball, Baseball or Hockey: Cincinnati Bengals, Boston Celtics, Washington Capitals, Washington Capitals, Los Angeles Dodgers, Atlanta Braves, Phoenix Suns, New York Rangers, Chicago Bears",59
What is dry ice?,6,Dry ice?,4
What are the Australian men's and women's soccer teams called?,15,Names of Australia’s men's and women's soccer teams,15
Which is a species of fish? Toadfish or Toad,16,Which is species of fish? Toadfish or Toad,14
What is the difference between a refractor telescope and a reflector telescope?,19,Difference between refractor and reflector telescopes,11
"Which of these titles are by Nicola Yoon and which are by Angie Thomas: Everything, Everything, The Sun is Also a Star, Blackout, Instructions for Dancing, The Hate U Give, On the Come  Up, Concrete Rose",53,"Which titles are by Nicola Yoon vs Angie Thomas: Everything, Everything; Sun Is Also Star; Blackout; Instructions for Dancing; Hate U Give; On Come Up; Concrete Rose",46
Name some famous paintings by Van Gogh.,10,Name some famous Van Gogh paintings,8
The BCG vaccine has proved quite effective against which infection,11,BCG vaccine effective against which infection,7
What's the difference between a turnover and a turnover on downs in the sport of American Football?,23,Difference between turnover and turnover on downs in American football,11
Name some characters of One Piece Straw Hat Pirates.,12,Names of Straw Hat Pirates,8
Why questions boost creativity during brainstorming sessions,8,Why questions boost creativity in brainstorming,7
what is the Bieh State,7,what is Bieh State,6
What are different ways people help each other?,9,Different ways people help each other,6
"Given this paragraph about Taylor Swift re-recording her masters, who was responsible for the controversy?",23,Who was responsible for controversy in paragraph about Taylor Swift re-recording her masters,19
"Write a letter to a home seller named Ms Johnson explaining why we are interested in purchasing her home. We are a person from Washington and a person from Colorado. Focus on the natural beauty of the home, the location, and the extra space for pottery and woodworking.",59,"Letter to Ms Johnson from Washington resident and Colorado resident explaining interest in purchasing her home; focus on natural beauty, location, and extra space for pottery and woodworking",33
"Given this paragraph about Mark Arminski, why was he famous and what did he study last while still at school?",26,"From this paragraph about Mark Arminski, why was he famous and what did he last study in school",23
Who was Lem Tucker?,6,Lem Tucker?,4
What is a dog better at than humans?,10,What is dog better at than humans,7
"From the below text, list the top 3 chapters of the Bhagvad Geeta, with the most verses.",28,"From below text, list top 3 Bhagvad Geeta chapters by verse count",20
What is fractional-reserve banking?,10,What is fractional-reserve banking,9
Who is the greater footballer of all time?,10,Who is greater footballer of all time,8
How did Rotisserie baseball become popular?,9,How did Rotisserie baseball become popular,8
"Assume the email format is {first_initial}{last_name}@somecompany.com

What would the email addresses be for the following people?
Jon Doe
Richard Smith
Tom Jenkins
Nick Parsons",45,"Assume {first_initial}{last_name}@somecompany.com. Email addresses for: Jon Doe, Richard Smith, Tom Jenkins, Nick Parsons",38
List the two oldest University of California campuses separated by a semicolon.,16,List two oldest UC campuses; semicolon-separated,15
"Tell me whether each of these are green or yellow: lemon, lime, cheese, spinach, lettuce, spaghetti",22,"Green or yellow: lemon, lime, cheese, spinach, lettuce, spaghetti",15
"Given this paragraph, in which categories did Everything Everywhere All At Once win an Oscar and how many Academy Awards did the film win in total?",29,"From given paragraph, which Oscar categories did Everything Everywhere All At Once win, and how many Oscars did it win in total",26
"Tell me which of these terms are related to artificial intelligence versus gardening: tilling, seed, gradient descent, production, Bayesian optimization, genetically modified organism, heirloom, transfer learning",41,Classify terms as AI-related or gardening: tilling; seed; gradient descent; production; Bayesian optimization; genetically modified organism; heirloom; transfer learning,36
Tell me why your dog likes dog daycare.,11,Explain why your dog likes dog daycare,9
How many arms does Hapalochlaena lunulata have?,18,Arms of Hapalochlaena lunulata,15
Who are the greatest players that have played for Manchester United?,12,List Manchester United's greatest players,7
What are some words that rhyme with orange,8,Rhymes for orange,5
Given a reference text about the rock band Pink Floy: What was the name of Pink Floyd's last album and when was it released?,31,From Pink Floy reference text: last album name and release date,14
What are the Current assets in finance?,8,What are current assets in finance,6
"What was ""the Dry Capital of the World""?",11,What was Dry Capital of World,6
How many cities in Lithuania are larger than Neris?,12,How many cities in Lithuania are larger than Neris,11
Name four pork products I could expect to find in a delicatessen,14,Name four pork products in deli,7
How do you shift a manual transmission in vehicle?,11,How to shift manual transmission,5
Which of these are computer video games: Path of Exile; Playstation; Xbox; Nintendo; Starcraft; Civilization,25,Path of Exile; Starcraft; Civilization,10
Can you list the ingredients used to make Gyeran-mari?,14,List ingredients for Gyeran-mari,8
What is COBOL used for?,8,What is COBOL used for,7
"Given this paragraph about Simon Bolivar, tell me when and where they were born, and what they are known for",24,"From this paragraph about Simon Bolivar, give his birth date, birthplace, and what he is known for",24
What do you love most about spring?,8,Your favorite thing about spring,5
What are the ingredients of a classic Greek salad?,11,Classic Greek salad ingredients,4
Why do humans play sports?,6,Why humans play sports,4
What are five creative ways to use paper?,9,Five creative ways to use paper,6
Which human rights organisation founded 1961 got Nobel 1977,9,Which human rights organisation founded 1961 got Nobel 1977,9
Can I learn to ski as an adult?,9,Can I learn to ski as adult,7
What are some common Indian spices?,7,Common Indian spices?,4
What religion is the oldest in the world?,9,Oldest religion in world,5
What was Dick Lammi's most famous work?,12,Dick Lammi's most famous work,9
"Help me with spend a day in New Delhi. I like architecture, culture, and am a foodie",24,"Plan day in New Delhi: architecture, culture, and food",12
what is fish oil?,5,Fish oil?,3
"Identify which instrument is string or percussion: Xylorimba, Cimbalom",21,Xylorimba: percussion; Cimbalom: string,16
"Given the reference text about Fidel Castro, tell me where he was born, where he studied, and when he was the leader of Cuba.",33,"From Fidel Castro reference text, list birthplace, places he studied, and years he led Cuba",23
Give me a list of the best PC games of all time.,14,List best PC games of all time,7
"Given a reference text that describes the air travel disruption after the 2010 Eyjafjallajökull eruption, how long was the air travel over Europe disrupted for?",40,"From reference text on 2010 Eyjafjallajökull eruption, how long was air travel over Europe disrupted",28
What happens when you bring flammable objects closer to a fire source or extreme heat?,19,Effects of bringing flammable objects near fire or extreme heat,14
Who is Sergey or Sergiy Korsunsky,11,Who is Sergey or Sergiy Korsunsky,11
Give me a summary of the paragraph in your own words and it should be short,17,Summarize paragraph in your own words; keep it short,12
"What does the ""E"" stand for in Chuck E. Cheese?",14,What does E stand for in Chuck E. Cheese,10
Extract the number of fights Hunt won by knockout or TKO in the below text and the year he had the most knockout wins,29,"From text below, output Hunt's KO/TKO wins count and year with most KO wins",22
"During WWII, how many Japanese Americans were forcibly relocated and incarcerated?",20,How many Japanese Americans were forcibly relocated and incarcerated during WWII,17
What is the difference between a guitar and a bass,12,Difference between guitar and bass,5
What teams were a part of the 2021 Valletta Cup?,14,2021 Valletta Cup teams,6
What Is The Tesla Model Y’s Charger Type?,14,Tesla Model Y charger type,6
How long is an Ironman triathlon?,9,Ironman triathlon distance?,6
"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",22,"From Cy Young Award reference text, describe what it is and why it is awarded",16
Who are the most famous athletes in Seattle sports history?,11,Most famous Seattle sports athletes,5
Is three body problem solved?,7,Is three body problem solved,6
Where are good locations to scuba dive?,10,Best scuba diving spots,6
What is the least common birthday?,7,Least common birthday?,5
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.",31,"From Psychiatry: Industry of Death reference, when did it open and who owns/operates it",24
"Which of the following instruments are brass instruments? Flute, trumpet, clarinet, piano, French horn, guitar.",26,"Which of these are brass instruments? Flute, trumpet, clarinet, piano, French horn, guitar",23
Make arguments for and against Majora's Mask being a better game than Ocarina of Time.,23,Make arguments for and against Majora's Mask being better game than Ocarina of Time,20
What was the Rolling Stones first no 1 hit,11,What was Rolling Stones first no 1 hit,10
When is Croatian Independence Day?,7,When is Croatian Independence Day,6
"Given a reference text that provides the geographical description of continent Asia, how many Asian countries have a part of their land in Europe as well?",30,Asia geography reference: how many Asian countries have land in Europe,12
What is the capital of Arizona?,7,Arizona capital?,3
"In the series A Song of Ice and Fire, who is the founder of House Thenn?",20,Who founded House Thenn in ASOIAF,11
"Which characters belong to DC or Marvel Universe? Magneto, Dr. Polaris",16,"DC or Marvel: Magneto, Dr. Polaris",11
What kind of activity do good sales people do?,10,What activities do good salespeople do,7
"Classify list as breeds of either a 'dog' or a 'cat': Border Collie, Siamese, Maine Coon, German Shepard, Persian, and Corgi?",47,"Classify as dog or cat: Border Collie, Siamese, Maine Coon, German Shepard, Persian, Corgi",30
"are the following musical instruments or not?
typewriter
computer
guitar
violin
flute
bedsheets
bat
ball
piano
harmonium
tabla
blinds",27,"Are these musical instruments: typewriter, computer, guitar, violin, flute, bedsheets, bat, ball, piano, harmonium, tabla, blinds",35
"Which of these words can be both a noun and a verb in English? treat, apple, watch, wood, attach",27,"Which of these words can be both noun and verb in English? treat, apple, watch, wood, attach",23
How has the video gaming industry evolved over the years ?,12,Evolution of video game industry over time,7
Where is the Ahlatcik village,10,Where is Ahlatcik village,9
Write a few sentences explaining the criteria you used to choose your favorite fast food restaurant.,18,Write few sentences explaining criteria you used to choose your favorite fast food restaurant,14
What is the coldest month in Warsaw and how cold does it get on average?,18,Warsaw's coldest month and its average temperature,11
Queen Elizabeth II closed coffin was adorned with several interesting objects and symbols including what?,18,What objects and symbols adorned Queen Elizabeth II's closed coffin,14
Who is Jorge Luis Borges?,8,Jorge Luis Borges bio,6
How does an LCD panel work?,7,How LCD panels work,4
"Identify which animal species is alive or extinct: Vaquita, Daeodon",19,"Alive or extinct: Vaquita, Daeodon",14
"Arrange these weapons from oldest to newest, based on the date they were first invented.

Sword
Nuclear Bomb
Hand Axe
Gatling Gun
Rifle",35,Arrange oldest to newest by first invention date: Sword; Nuclear Bomb; Hand Axe; Gatling Gun; Rifle,30
What equipment do I need to go camping?,9,What camping gear do I need,6
What are fun activities to do in New Orleans?,10,Fun activities in New Orleans,5
Who is Bill Gates?,6,Who is Bill Gates,5
Do the new shift rules in Major League Baseball make the game more exciting?,15,Do MLB's new shift rules make game more exciting,11
How long does it take our sun to orbit the center of our galaxy,14,Sun's orbital period around Galactic Center,10
"Based on the reference text, why was the eastern section of the bridge rebuilt?",16,"Per reference text, why was east bridge section rebuilt",10
"Tell me whether each animal has feathers or hair: falcon, pigeon, chimpanzee, cat, cardinal, hamster, horse",35,"Feathers or hair by animal: falcon, pigeon, chimpanzee, cat, cardinal, hamster, horse",33
"Based on the reference text, provide a bulleted list of the three stages of ISO 27001 Certification and the activities of each stage.",29,"From reference text, provide bulleted list of three ISO 27001 Certification stages and their activities",19
give me a summary of the American revolution,9,Summarize American Revolution,5
List five titles by Kevin Kwan.,8,List five Kevin Kwan titles,6
Can you offer tips for visiting Mexico City for fun?,11,Fun tips for visiting Mexico City,6
What ingredients are no longer used in ketchup?,12,Which ketchup ingredients are no longer used,10
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",18,"Plan for three day road trip for May long weekend from Westfield, New Jersey",16
When was the Goan civil code established?,9,Goan Civil Code established date,6
What can a work group do to promote psychological safety?,12,How can team promote psychological safety,6
What was the first modern trading card game created?,10,What was first modern trading card game,7
What is a Treasury Bond?,7,Treasury bond definition,3
"Classify each of the following as either even or odd number: 1, 3, 15, 24, 56, 47, 4, 88, 13, 10, 74, 35, 99, 82, 6, 59, 73, 12, 68, 9.",49,"Classify as even/odd: 1,3,15,24,56,47,4,88,13,10,74,35,99,82,6,59,73,12,68,9",44
Why does my dog dig in the furniture?,9,Why does my dog dig in furniture,7
Was Endless Nights released in November or December?,11,Was Endless Nights released in November or December,10
What is Ramadan?,6,Ramadan?,4
What is a snowball?,7,Snowball?,3
What is Perseverance doing on Mars?,10,What is Perseverance doing on Mars,9
What are the ways you can use Zoom?,9,Uses of Zoom?,5
How do beaver damns benefit the environment?,11,How do beaver dams benefit environment,9
Give me a few ways that I could travel from Munich to Rome and list the advantages and disadvantages for each.,24,Provide several Munich–Rome travel options with pros and cons for each,14
"Categorize each of the following as reptiles, vegetables or body parts: elbow, iguana, toe, lettuce, broccoli, turtle, shin, eye, okra, alligator, ear, finger, python, anaconda, and cabbage.",69,"Classify each item as reptiles, vegetables, or body parts: elbow, iguana, toe, lettuce, broccoli, turtle, shin, eye, okra, alligator, ear, finger, python, anaconda, cabbage",64
what are creative ways of gifting?,8,Creative gift ideas?,4
Why is the Pacific NorthWest so unique?,9,Why is Pacific Northwest unique,5
Extract the year that the Balloon typeface was created from the following Wikipedia article.,18,Extract Balloon typeface creation year from Wikipedia article,11
Who won the 1974 Nobel Memorial Prize in Economic Sciences?,11,1974 Nobel Memorial Prize in Economic Sciences winner,8
Which of the following rivers are in India?,9,Rivers in India?,5
"Tell me which of these albums were by AC/DC, Judas Priest, or Van Halen:  Back in Black, Screaming for Vengeance, Stained Class, British Steel, Painkiller, Women and Children First, 1984, Dirty Deeds Done Dirt Cheap, Diver Down, Rocka Rolla, Powerage",74,"Which of these albums were by AC/DC, Judas Priest, or Van Halen: Back in Black, Screaming for Vengeance, Stained Class, British Steel, Painkiller, Women and Children First, 1984, Dirty Deeds Done Dirt Cheap, Diver Down, Rocka Rolla, Powerage",72
What are the most common languages in the world?,10,Most spoken languages worldwide,4
Who are the parents of Vivek Oberoi?,12,Vivek Oberoi parents?,8
"Classify the following as a 'triangle' or 'not a triangle' - equilateral, isosceles, right angled, circle, sphere, scalene, rectangle, square, trapezium.",54,"Classify as triangle or not: equilateral, isosceles, right angled, circle, sphere, scalene, rectangle, square, trapezium",38
list the different types of biryani,8,List biryani types.,6
Who are the top tennis players right now?,9,Current top tennis players,4
"Which of the following words starts with the letter S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",26,"Which of these starts with S: Snake, Towel, Table, Shower, Yam, Butterfly, Apple",22
Who was offered the presidency of Israel in 1952 (turned down),13,Who was offered Israel's presidency in 1952 and declined,11
What are the 7 continents in the world,9,List 7 continents.,5
Why do companies play dividends?,7,Why do companies play dividends,6
"Tell me which of the following are states in the United States of America: Washington, Oregon, California, Idaho, Toronto, Canada, England.",29,"Which of these are U.S. states: Washington, Oregon, California, Idaho, Toronto, Canada, England",23
Give me a list of the best romantic comedies,11,List top romantic comedies,5
Have any women won the Nobel Prize in Physics?,10,Women Nobel Prize in Physics winners,6
How to prepare without baking dessert recipe -Banana Pudding?,16,How to prepare without baking dessert recipe -Banana Pudding,15
"Tell me what I should do in London, England.",11,"What should I do in London, England",8
"Which of the following surnames have appeared on the Wimbledon Men's Championship trophy in the last sixty years? Federer, Djokovic, Navratilova, Connors, Borg, McEnroe, Becker, Laver, Evert, Court, Nastase, Sullivan, Leconte, Bahrami.",79,"Which surnames have appeared on Wimbledon Men's Championship trophy in last 60 years: Federer, Djokovic, Navratilova, Connors, Borg, McEnroe, Becker, Laver, Evert, Court, Nastase, Sullivan, Leconte, Bahrami",73
What are the Seven Natural Wonders of the World:,11,List Seven Natural Wonders of World,7
How do I cook an egg over easy?,9,How to cook egg over easy,6
Where is Bogota located?,7,Bogota location?,5
What video game console can you play ATV Offroad Fury 3 on?,16,On which console can you play ATV Offroad Fury 3,13
Name the place where Queen Elizabeth II is buried,10,Where is Queen Elizabeth II buried,7
How did Frank Stagg die?,8,How did Frank Stagg die,7
What is it like to have children and how many should I have?,14,What is it like to have children and how many should I have,13
Can you explain the Keto diet and ketosis?,12,Explain keto diet and ketosis,7
Write a convincing argument about why cats are better than dogs,12,Write convincing argument about why cats are better than dogs,10
Why did Ken Shamrock change his last name?,10,Why did Ken Shamrock change his surname,9
"Given a reference text about dried spaghetti production, what is required to produce spaghetti without errors?",19,"From dried spaghetti production reference, what is required for error-free spaghetti production",15
"Tell me whether you wear each of the following on your hand or face: ring, glove, glasses, lipstick, mitten, mask",28,"For each item, indicate whether worn on hand or face: ring, glove, glasses, lipstick, mitten, mask",25
Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name},24,Extract all person names from this paragraph and bullet them as {Name},15
"Plan a weekend long vacation to Madrid, and mention multiple specific places you would visit and how you would travel in the city",25,Plan weekend Madrid trip; list several places to visit and how you'd travel around city,18
"Given this paragraph, who was the first person to run the Western States 100 in under 24 hours?",20,"Who was first person to finish Western States 100 in under 24 hours, per this paragraph",17
Is Leucascidae a sponge,11,Leucascidae sponge?,8
What are the most popular implementations of Kafka?,12,Most popular Kafka implementations,7
Give me a list of the best Romantic Comedy Movies,13,List top romantic comedies,5
History of the Arches National Park creation.,10,History of Arches National Park creation,8
How are healthcare organizations thinking about their strategy to improve healthcare delivery?,13,How are healthcare orgs strategizing to improve care delivery,14
How many movies did director Quentin Tarantino make?,13,How many films has Quentin Tarantino directed,11
"Given a reference text about N.V. Virgin Express S.A., tell me its main hub and when it was founded.",28,"From reference text on N.V. Virgin Express S.A., provide its main hub and founding year",22
Will being fully autonomous change the future of car design ?,12,Will full autonomy change future car design,7
What is connectomics?,5,Connectomics?,3
"What family do tigers, lions and panthers all belong to?",18,"What family are tigers, lions and panthers in",15
Who founded the city of Detroit?,7,Detroit founder?,3
What is the fastest car in the world?,9,Fastest car in world,5
Give me the instructions on how to escape a labyrinth,15,How to escape labyrinth,8
Provide a list of the best baseball players of all time,12,List greatest baseball players of all time,7
What are the common formats of competitive debate in the US?,12,Common US competitive debate formats,5
What are the primary causes of obesity in the US?,11,Primary causes of obesity in US,6
What is the JRE in Java?,8,What is JRE,4
"Please tell me whether these are fish or fowl: salmon, chicken, tuna, swordfish, turkey, and halibut.",30,"Fish or fowl: salmon, chicken, tuna, swordfish, turkey, halibut",22
Is a person with dark brown hair considered a brunette?,15,Is dark brown hair brunette,7
What's the best way to study for a test?,13,Best way to study for test,6
What is Assassin's Creed?,10,Define Assassin's Creed.,10
What are four universities in the state of Texas?,10,Name four universities in Texas,5
Is there a way to prevent type 1 diabetes?,12,Ways to prevent Type 1 diabetes,7
Why do humans like to drink water?,8,Why humans like drinking water,5
Why is my buttercream frosting not white?,9,Why isn't my buttercream frosting white,10
What is the capital of Colorado?,7,Colorado capital?,3
What's the best way to brew an espresso?,13,Best espresso brew method,6
How do you throw a cutter in Wiffle Ball?,12,How to throw cutter in Wiffle Ball,8
Who is George R.R. Martin?,9,Who is George R.R. Martin,8
What is a NFT?,7,What is NFT?,5
"which of these are programming languages?

hindi
urdu
arabic
python
scala
rust
french
R
german
java
c",33,"Which of these are programming languages? hindi, urdu, arabic, python, scala, rust, french, R, german, java, c",43
Name five NHL teams in the Western Conference.,9,List 5 NHL Western Conference teams,6
Who won Euro song contest Save All Your Kisses For Me,13,Who won Euro song contest Save All Your Kisses For Me,13
"I have 3 apples, Jack has 4 pears and Jill has 5 books. After I ate 5 of Jack's pears, how many fruits we have in total now?",38,"I have 3 apples, Jack 4 pears and Jill 5 books. After I ate 5 of Jack's pears, how many fruits do we have",33
Why is India a major outsourcing partner for Information technology services?,13,Why is India major outsourcing partner for IT services,9
"Identify which instrument is string or percussion: Tsymbaly, Yehu",19,"Classify Tsymbaly, Yehu as string or percussion",16
What is Sinking Sand?,6,What is Sinking Sand,5
"Identify which animal species is alive or extinct: Theropod, Pronghorn",19,"Alive or extinct: Theropod, Pronghorn",14
What are all of the professional baseball teams in the state of Florida?,14,List all professional baseball teams in Florida,7
What makes Alabama Football coach Nick Saban so good at his job?,14,Why is Nick Saban good as Alabama football coach,10
What can you produce by chopping down a tree?,13,What does chopping down tree produce,8
"Where is a good place to go on holiday in Cornwall, England?",15,"Best places to holiday in Cornwall, England",8
Why do people foster dogs?,6,Why people foster dogs,4
Extract the age when Brendon Small began to learn how to play Guitar,15,Age when Brendon Small began learning guitar,9
"From the passage provided, extract the progression of number of games in an NFL season.",17,"From passage, extract progression of NFL season games",9
"List the ten episode titles from the fourth season of ""Game of Thrones"" in broadcast order.",20,List ten S4 Game of Thrones episode titles in broadcast order,13
Which animal is the most faster?,7,Which animal is most faster,5
How do airplanes fly?,6,How airplanes fly?,5
What is separation anxiety in dogs?,7,Dog separation anxiety definition,4
Why do people visit the national parks?,8,Why do people visit national parks,6
"Which of the following grapes are used to make white wine: Chardonnay, Sauvignon Blanc, Riesling, Pinot Gris, Semillon, Gewurztraminer, Viognier, Chenin Blanc, Cabernet Sauvignon, 
Merlot, Syrah, Pinot Noir, Zinfandel, Sangiovese, Grenache, Malbec.",83,"Which of these grapes are used to make white wine: Chardonnay, Sauvignon Blanc, Riesling, Pinot Gris, Semillon, Gewurztraminer, Viognier, Chenin Blanc, Cabernet Sauvignon, Merlot, Syrah, Pinot Noir, Zinfandel, Sangiovese, Grenache, Malbec",81
"Which things are typically hot and which are cold: an icicle, a snowball, lava, a cat, tea, a meat locker, summer on the east coast of the United States, a sauna and a Bikram yoga.",55,"Hot vs cold: icicle, snowball, lava, cat, tea, meat locker, summer on East Coast US, sauna, Bikram yoga",35
"Identify which animal species is alive or extinct: Machaeroides, Red Panda",19,"Alive or extinct: Machaeroides, Red Panda",14
Write a children's story about a baby called Arthur who weighed three times the normal weight for a boy his age,27,Write children's story about baby called Arthur who weighed three times normal weight for boy his age,20
"Tell me whether each airline is American or European: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",27,"Are these American or European airlines: British Airways, United Airlines, Southwest Airlines, Jet Blue, Easy Jet, Ryan Air",24
Complete the joke 'A Large Language Model enters a bar',15,Complete joke: Large Language Model enters bar,9
What is the sport of Ultimate?,7,What is Ultimate (sport),6
What's are common synonyms for an enterprise sales person?,13,Common synonyms for enterprise salesperson,7
What does quantitative easing mean?,7,Quantitative easing meaning?,7
Give me the main facts about the book series about Harry Potter.,13,Harry Potter book series key facts,6
"Which one of these are unlike the others: Toyota Supra, Mitsubishi 3000GT, Mazda RX-7, Nissan 300ZX?",28,"Which is unlike others: Toyota Supra, Mitsubishi 3000GT, Mazda RX-7, Nissan 300ZX",23
When was Mar-a-Lago built?,10,When was Mar-a-Lago built,9
"Identify which instrument is string or woodwind: Domra, Xaphoon",19,Domra: string; Xaphoon: woodwind,14
Give me some tips on how to train for a marathon.,13,Marathon training tips.,4
Describe the benefits of riding the bus to work instead of driving a car.,17,Describe benefits of bus commuting to work over driving car,14
Can indoor houseplants live outside?,8,Can indoor houseplants live outside,7
"Which is a bird or fish: Yellow-legged gull, Yellowfin tuna",21,"Bird or fish: Yellow-legged gull, Yellowfin tuna",17
What are the major innovations and scientific discoveries from UC Berkeley?,13,UC Berkeley major innovations and scientific discoveries,8
